Date,Close
3/1/2019,2.9
3/4/2019,2.92
3/5/2019,2.95
3/6/2019,2.83
3/7/2019,2.88
3/8/2019,2.84
3/11/2019,2.85
3/12/2019,2.82
3/13/2019,2.89
3/14/2019,2.85
3/15/2019,2.86
3/18/2019,2.84
3/19/2019,2.87
3/20/2019,2.8
3/21/2019,2.82
3/22/2019,2.72
3/25/2019,2.72
3/26/2019,2.7
3/27/2019,2.69
3/28/2019,2.69
3/29/2019,2.57
4/1/2019,2.68
4/2/2019,2.7
4/3/2019,2.77
4/4/2019,2.71
4/5/2019,2.79
4/8/2019,2.75
4/9/2019,2.75
4/10/2019,2.72
4/11/2019,2.73
4/12/2019,2.71
4/15/2019,2.63
4/16/2019,2.7
4/17/2019,2.65
4/18/2019,2.74
4/22/2019,2.73
4/23/2019,2.84
4/24/2019,2.92
4/25/2019,2.48
4/26/2019,2.34
4/29/2019,2.36
4/30/2019,2.29
5/1/2019,2.34
5/2/2019,2.22
5/3/2019,2.29
5/6/2019,2.21
5/7/2019,2.18
5/8/2019,2.17
5/9/2019,2.15
5/10/2019,2.13
5/13/2019,2.09
5/14/2019,2.05
5/15/2019,2
5/16/2019,2.15
5/17/2019,2.11
5/21/2019,2.19
5/22/2019,2.1
5/23/2019,2.08
5/24/2019,2.07
5/27/2019,2.07
5/28/2019,2.07
5/29/2019,2.05
5/30/2019,2.02