SALEDATE,PROPERTYCITY,SCHOOLDESC,RECORDDATE,PRICE
2016-09-22,PITTSBURGH,Pittsburgh,2016-10-17,156000.0
2012-01-03,PITTSBURGH,Pittsburgh,2012-01-03,1.0
2012-01-03,PITTSBURGH,Pittsburgh,2012-01-03,95000.0
2012-01-06,PITTSBURGH,Pittsburgh,2012-01-06,90000.0
2012-02-13,PITTSBURGH,Pittsburgh,2012-02-13,380000.0
2012-02-17,PITTSBURGH,Pittsburgh,2012-02-17,69000.0
2012-02-03,PITTSBURGH,Pittsburgh,2012-02-03,80000.0
2012-02-13,PITTSBURGH,Pittsburgh,2012-02-13,142000.0
2012-03-01,PITTSBURGH,Pittsburgh,2012-03-01,69900.0
2012-03-13,PITTSBURGH,Pittsburgh,2012-03-13,74000.0
2012-03-12,PITTSBURGH,Pittsburgh,2012-03-12,210000.0
2012-03-15,PITTSBURGH,Pittsburgh,2012-03-15,1.0
2012-04-12,PITTSBURGH,Pittsburgh,2012-04-12,120000.0
2012-04-12,PITTSBURGH,Pittsburgh,2012-04-12,790075.0
2012-04-20,PITTSBURGH,Pittsburgh,2012-04-20,110000.0
2012-05-14,PITTSBURGH,Pittsburgh,2012-05-14,119800.0
2012-04-16,PITTSBURGH,Pittsburgh,2012-04-16,65000.0
2012-04-16,PITTSBURGH,Pittsburgh,2012-04-16,125000.0
2012-05-02,PITTSBURGH,Pittsburgh,2012-05-02,1.0
2012-04-27,PITTSBURGH,Pittsburgh,2012-04-27,136000.0
2012-04-30,PITTSBURGH,Pittsburgh,2012-04-30,75000.0
2012-05-11,PITTSBURGH,Northgate,2012-05-11,68500.0
2012-05-07,PITTSBURGH,Pittsburgh,2012-05-07,249000.0
2012-05-22,PITTSBURGH,Pittsburgh,2012-05-22,133000.0
2012-05-29,PITTSBURGH,Pittsburgh,2012-05-29,79900.0
2012-05-03,PITTSBURGH,Northgate,2012-05-03,44000.0
2012-05-10,PITTSBURGH,Pittsburgh,2012-05-10,125000.0
2012-05-24,PITTSBURGH,Pittsburgh,2012-05-24,227000.0
2012-06-08,PITTSBURGH,Pittsburgh,2012-06-08,165000.0
2012-06-22,PITTSBURGH,Pittsburgh,2012-06-22,1.0
2012-06-13,PITTSBURGH,Pittsburgh,2012-06-13,100000.0
2012-06-14,PITTSBURGH,Pittsburgh,2012-06-14,271250.0
2012-07-05,PITTSBURGH,Pittsburgh,2012-07-05,320000.0
2012-07-03,PITTSBURGH,Pittsburgh,2012-07-03,1.0
2012-07-06,PITTSBURGH,Pittsburgh,2012-07-06,242000.0
2012-07-13,PITTSBURGH,Pittsburgh,2012-07-13,137000.0
2012-07-10,PITTSBURGH,Pittsburgh,2012-07-10,81500.0
2012-07-19,PITTSBURGH,Pittsburgh,2012-07-19,72075.0
2012-07-16,PITTSBURGH,Northgate,2012-07-16,1.0
2012-06-29,PITTSBURGH,Pittsburgh,2012-06-29,349500.0
2012-07-27,PITTSBURGH,Pittsburgh,2012-07-27,66500.0
2012-07-31,PITTSBURGH,Pittsburgh,2012-07-31,117000.0
2012-07-19,PITTSBURGH,Pittsburgh,2012-07-19,75000.0
2012-07-27,PITTSBURGH,Mt Lebanon,2012-07-27,1.0
2012-08-01,PITTSBURGH,Pittsburgh,2012-08-01,220000.0
2012-07-30,PITTSBURGH,Pittsburgh,2012-07-30,1994.0
2012-08-08,PITTSBURGH,Pittsburgh,2012-08-08,115000.0
2012-07-18,PITTSBURGH,Pittsburgh,2012-07-18,187500.0
2012-08-02,PITTSBURGH,Pittsburgh,2012-08-02,1.0
2012-08-02,PITTSBURGH,Pittsburgh,2012-08-02,1.0
2012-08-17,PITTSBURGH,Pittsburgh,2012-08-17,0.0
2012-07-23,PITTSBURGH,Northgate,2012-07-23,52060.0
2012-08-23,PITTSBURGH,Pittsburgh,2012-08-23,136000.0
2012-08-29,PITTSBURGH,Northgate,2012-08-29,66500.0
2012-08-31,PITTSBURGH,Pittsburgh,2012-08-31,1.0
2012-09-05,PITTSBURGH,Pittsburgh,2012-09-05,99150.0
2012-09-05,PITTSBURGH,Pittsburgh,2012-09-05,68000.0
2012-09-11,PITTSBURGH,Pittsburgh,2012-09-11,1.0
2012-09-10,PITTSBURGH,Pittsburgh,2012-09-10,330000.0
2012-09-07,PITTSBURGH,Pittsburgh,2012-09-07,128000.0
2012-09-17,PITTSBURGH,Pittsburgh,2012-09-17,116500.0
2012-09-11,PITTSBURGH,Northgate,2012-09-11,78500.0
2012-09-13,PITTSBURGH,Pittsburgh,2012-09-13,1.0
2012-09-20,PITTSBURGH,Pittsburgh,2012-09-20,395000.0
2012-09-24,PITTSBURGH,Pittsburgh,2012-09-24,1.0
2012-10-01,PITTSBURGH,Northgate,2012-10-01,71000.0
2012-10-10,PITTSBURGH,Pittsburgh,2012-10-10,228000.0
2012-10-26,PITTSBURGH,Pittsburgh,2012-10-26,202000.0
2012-10-30,PITTSBURGH,Northgate,2012-10-30,40000.0
2012-11-02,PITTSBURGH,Pittsburgh,2012-11-02,135000.0
2012-11-02,PITTSBURGH,Pittsburgh,2012-11-02,1.0
2012-11-02,PITTSBURGH,Pittsburgh,2012-11-02,30000.0
2012-10-05,PITTSBURGH,Pittsburgh,2012-10-05,60000.0
2012-11-27,PITTSBURGH,Pittsburgh,2012-11-27,1.0
2012-12-03,PITTSBURGH,Pittsburgh,2012-12-03,72000.0
2012-11-30,PITTSBURGH,Pittsburgh,2012-11-30,1.0
2012-12-06,PITTSBURGH,Pittsburgh,2012-12-06,1.0
2012-12-05,PITTSBURGH,Northgate,2012-12-05,40500.0
2012-12-14,PITTSBURGH,Pittsburgh,2012-12-14,700000.0
2012-11-16,PITTSBURGH,Pittsburgh,2012-11-16,167500.0
2012-12-27,PITTSBURGH,Pittsburgh,2012-12-27,1.0
2012-12-06,PITTSBURGH,Pittsburgh,2012-12-06,825000.0
2012-12-07,PITTSBURGH,Pittsburgh,2012-12-07,685000.0
2013-01-08,PITTSBURGH,Pittsburgh,2013-01-08,1.0
2013-01-29,PITTSBURGH,Pittsburgh,2013-01-29,49900.0
2013-02-13,PITTSBURGH,Mt Lebanon,2013-02-13,1800.0
2013-02-20,PITTSBURGH,Northgate,2013-02-20,55000.0
2013-02-21,PITTSBURGH,Pittsburgh,2013-02-21,102000.0
2013-03-01,PITTSBURGH,Pittsburgh,2013-03-01,118000.0
2012-07-24,PITTSBURGH,Pittsburgh,2012-07-24,237500.0
2013-03-08,PITTSBURGH,Northgate,2013-03-08,1.0
2013-03-01,PITTSBURGH,Pittsburgh,2013-03-01,58000.0
2013-03-07,PITTSBURGH,Pittsburgh,2013-03-07,200000.0
2012-08-28,PITTSBURGH,Pittsburgh,2012-08-28,20000.0
2013-03-25,PITTSBURGH,Pittsburgh,2013-03-25,0.0
2013-03-13,PITTSBURGH,Pittsburgh,2013-03-13,109000.0
2013-03-14,PITTSBURGH,Pittsburgh,2013-03-14,1.0
2013-03-18,PITTSBURGH,Pittsburgh,2013-03-18,153500.0
2013-03-22,PITTSBURGH,Pittsburgh,2013-03-22,212000.0
2013-03-27,PITTSBURGH,Pittsburgh,2013-03-27,107500.0
2013-03-29,PITTSBURGH,Pittsburgh,2013-03-29,72000.0
2013-04-01,PITTSBURGH,Pittsburgh,2013-04-01,157000.0
2013-03-20,PITTSBURGH,Pittsburgh,2013-03-20,1.0
2013-04-04,PITTSBURGH,Pittsburgh,2013-04-04,193000.0
2013-04-04,PITTSBURGH,Pittsburgh,2013-04-04,189000.0
2013-04-11,PITTSBURGH,Pittsburgh,2013-04-11,100000.0
2013-04-17,PITTSBURGH,Pittsburgh,2013-04-17,114600.0
2013-04-22,PITTSBURGH,Pittsburgh,2013-04-22,96000.0
2013-04-25,PITTSBURGH,Pittsburgh,2013-04-25,200000.0
2013-04-19,PITTSBURGH,Northgate,2013-04-19,70000.0
2013-04-19,PITTSBURGH,Pittsburgh,2013-04-19,222000.0
2013-04-26,PITTSBURGH,Pittsburgh,2013-04-26,185000.0
2013-05-03,PITTSBURGH,Pittsburgh,2013-05-03,118000.0
2013-05-01,PITTSBURGH,Pittsburgh,2013-05-01,120000.0
2013-05-09,PITTSBURGH,Pittsburgh,2013-05-09,118000.0
2013-05-10,PITTSBURGH,Pittsburgh,2013-05-10,64000.0
2013-05-10,PITTSBURGH,Pittsburgh,2013-05-10,285000.0
2013-05-22,PITTSBURGH,Pittsburgh,2013-05-22,90000.0
2013-05-24,PITTSBURGH,Pittsburgh,2013-05-24,135000.0
2013-06-05,PITTSBURGH,Pittsburgh,2013-06-05,190000.0
2013-06-03,PITTSBURGH,Pittsburgh,2013-06-03,207500.0
2013-06-10,PITTSBURGH,Pittsburgh,2013-06-10,198000.0
2013-06-12,PITTSBURGH,Pittsburgh,2013-06-12,187000.0
2013-06-12,PITTSBURGH,Pittsburgh,2013-06-12,335000.0
2013-06-19,PITTSBURGH,Pittsburgh,2013-06-19,78000.0
2013-06-24,PITTSBURGH,Pittsburgh,2013-06-24,184500.0
2013-06-27,PITTSBURGH,Pittsburgh,2013-06-27,90000.0
2013-06-28,PITTSBURGH,Pittsburgh,2013-06-28,412000.0
2013-07-03,PITTSBURGH,Pittsburgh,2013-07-03,360000.0
2013-07-02,PITTSBURGH,Pittsburgh,2013-07-02,261250.0
2013-07-03,PITTSBURGH,Pittsburgh,2013-07-03,1.0
2013-07-10,PITTSBURGH,Pittsburgh,2013-07-10,185000.0
2013-07-17,PITTSBURGH,Pittsburgh,2013-07-17,218000.0
2013-07-25,PITTSBURGH,Pittsburgh,2013-07-25,295000.0
2013-07-17,PITTSBURGH,Pittsburgh,2013-07-17,1.0
2013-07-25,PITTSBURGH,Pittsburgh,2013-07-25,215000.0
2013-07-17,PITTSBURGH,Pittsburgh,2013-07-17,69000.0
2013-07-24,PITTSBURGH,Mt Lebanon,2013-07-24,193000.0
2013-08-01,PITTSBURGH,Pittsburgh,2013-08-01,1.0
2013-07-24,PITTSBURGH,Pittsburgh,2013-07-24,131000.0
2013-08-06,PITTSBURGH,Pittsburgh,2013-08-06,277500.0
2013-08-07,PITTSBURGH,Pittsburgh,2013-08-07,80500.0
2013-08-01,PITTSBURGH,Pittsburgh,2013-08-01,118000.0
2013-08-02,PITTSBURGH,Pittsburgh,2013-08-02,350000.0
2013-08-01,PITTSBURGH,Pittsburgh,2013-08-01,363900.0
2013-08-06,PITTSBURGH,Pittsburgh,2013-08-06,277500.0
2013-08-06,PITTSBURGH,Pittsburgh,2013-08-06,108000.0
2013-08-20,PITTSBURGH,Pittsburgh,2013-08-20,10.0
2013-08-15,PITTSBURGH,Pittsburgh,2013-08-15,225000.0
2013-08-15,PITTSBURGH,Pittsburgh,2013-08-15,104000.0
2013-07-18,PITTSBURGH,Pittsburgh,2013-07-18,230000.0
2013-08-29,PITTSBURGH,Pittsburgh,2013-08-29,188472.0
2013-08-28,PITTSBURGH,Pittsburgh,2013-08-28,126500.0
2013-08-29,PITTSBURGH,Pittsburgh,2013-08-29,80000.0
2013-09-13,PITTSBURGH,Pittsburgh,2013-09-13,180000.0
2013-09-13,PITTSBURGH,Pittsburgh,2013-09-13,126914.0
2013-09-10,PITTSBURGH,Pittsburgh,2013-09-10,185000.0
2013-09-24,PITTSBURGH,Pittsburgh,2013-09-24,425000.0
2013-10-01,PITTSBURGH,Northgate,2013-10-01,40000.0
2013-10-08,PITTSBURGH,Pittsburgh,2013-10-08,89000.0
2013-10-11,PITTSBURGH,Pittsburgh,2013-10-11,266000.0
2013-10-08,PITTSBURGH,Northgate,2013-10-08,1.0
2013-11-06,PITTSBURGH,Pittsburgh,2013-11-06,303000.0
2013-11-05,PITTSBURGH,Pittsburgh,2013-11-05,200000.0
2013-12-06,PITTSBURGH,Pittsburgh,2013-12-06,195000.0
2013-12-12,PITTSBURGH,Pittsburgh,2013-12-12,93500.0
2013-12-05,PITTSBURGH,Pittsburgh,2013-12-05,91500.0
2013-12-09,PITTSBURGH,Pittsburgh,2013-12-09,210000.0
2013-12-12,PITTSBURGH,Pittsburgh,2013-12-12,85000.0
2013-12-19,PITTSBURGH,Pittsburgh,2013-12-19,102000.0
2013-12-18,PITTSBURGH,Pittsburgh,2013-12-18,432500.0
2013-12-11,PITTSBURGH,Pittsburgh,2013-12-11,225000.0
2013-12-17,PITTSBURGH,Pittsburgh,2013-12-17,280000.0
2013-12-20,PITTSBURGH,Pittsburgh,2013-12-20,10.0
2013-12-30,PITTSBURGH,Pittsburgh,2013-12-30,1.0
2013-12-30,PITTSBURGH,Pittsburgh,2013-12-30,192500.0
2014-01-06,PITTSBURGH,Pittsburgh,2014-01-06,105000.0
2013-12-31,PITTSBURGH,Pittsburgh,2013-12-31,125000.0
2014-01-06,PITTSBURGH,Pittsburgh,2014-01-06,515000.0
2013-12-27,PITTSBURGH,Pittsburgh,2013-12-27,133500.0
2014-01-10,PITTSBURGH,Mt Lebanon,2014-01-10,230000.0
2014-01-14,PITTSBURGH,Pittsburgh,2014-01-14,105000.0
2014-01-30,PITTSBURGH,Pittsburgh,2014-01-30,165000.0
2014-01-30,PITTSBURGH,Pittsburgh,2014-01-30,159574.0
2014-01-30,PITTSBURGH,Pittsburgh,2014-01-30,154000.0
2014-02-11,PITTSBURGH,Pittsburgh,2014-02-11,119000.0
2014-02-25,PITTSBURGH,Northgate,2014-02-25,48000.0
2014-03-05,PITTSBURGH,Pittsburgh,2014-03-05,89500.0
2014-03-03,PITTSBURGH,Pittsburgh,2014-03-03,106425.0
2014-03-18,PITTSBURGH,Pittsburgh,2014-03-18,124000.0
2014-04-01,PITTSBURGH,Pittsburgh,2014-04-01,413000.0
2014-04-01,PITTSBURGH,Pittsburgh,2014-04-01,132000.0
2014-03-27,PITTSBURGH,Pittsburgh,2014-03-27,122000.0
2014-04-01,PITTSBURGH,Pittsburgh,2014-04-01,1.0
2014-04-02,PITTSBURGH,Pittsburgh,2014-04-02,165000.0
2014-04-07,PITTSBURGH,Pittsburgh,2014-04-07,159000.0
2014-04-22,PITTSBURGH,Northgate,2014-04-22,58250.0
2014-04-08,PITTSBURGH,Pittsburgh,2014-04-08,118000.0
2014-04-30,PITTSBURGH,Pittsburgh,2014-04-30,1.0
2014-04-30,PITTSBURGH,Pittsburgh,2014-04-30,1.0
2014-05-08,PITTSBURGH,Pittsburgh,2014-05-08,195000.0
2014-05-08,PITTSBURGH,Pittsburgh,2014-05-08,195000.0
2014-05-08,PITTSBURGH,Pittsburgh,2014-05-08,1.0
2014-05-09,PITTSBURGH,Pittsburgh,2014-05-09,185000.0
2014-05-13,PITTSBURGH,Pittsburgh,2014-05-13,1.0
2014-05-14,PITTSBURGH,Pittsburgh,2014-05-14,117000.0
2014-05-28,PITTSBURGH,Pittsburgh,2014-05-28,118000.0
2014-05-28,PITTSBURGH,Pittsburgh,2014-05-28,1.0
2014-06-05,PITTSBURGH,Pittsburgh,2014-06-05,90000.0
2014-06-03,PITTSBURGH,Pittsburgh,2014-06-03,400000.0
2014-06-03,PITTSBURGH,Pittsburgh,2014-06-03,1933000.0
2014-06-03,PITTSBURGH,Pittsburgh,2014-06-03,300000.0
2014-06-10,PITTSBURGH,Pittsburgh,2014-06-10,190000.0
2014-06-05,PITTSBURGH,Pittsburgh,2014-06-05,218000.0
2014-06-06,PITTSBURGH,Pittsburgh,2014-06-06,125000.0
2014-06-10,PITTSBURGH,Pittsburgh,2014-06-10,0.0
2014-06-13,PITTSBURGH,Pittsburgh,2014-06-13,466700.0
2014-06-18,PITTSBURGH,Pittsburgh,2014-06-18,155000.0
2014-06-13,PITTSBURGH,Pittsburgh,2014-06-13,466700.0
2014-06-17,PITTSBURGH,Pittsburgh,2014-06-17,120000.0
2014-06-20,PITTSBURGH,Pittsburgh,2014-06-20,225000.0
2014-06-24,PITTSBURGH,Pittsburgh,2014-06-24,100000.0
2014-07-07,PITTSBURGH,Northgate,2014-07-07,70000.0
2014-07-11,PITTSBURGH,Pittsburgh,2014-07-11,186000.0
2014-07-21,PITTSBURGH,Pittsburgh,2014-07-21,127000.0
2014-07-22,PITTSBURGH,Pittsburgh,2014-07-22,272000.0
2014-07-28,PITTSBURGH,Pittsburgh,2014-07-28,115000.0
2014-07-28,PITTSBURGH,Pittsburgh,2014-07-28,118000.0
2014-07-21,PITTSBURGH,Pittsburgh,2014-07-21,184000.0
2014-07-31,PITTSBURGH,Pittsburgh,2014-07-31,95500.0
2014-07-30,PITTSBURGH,Pittsburgh,2014-07-30,238000.0
2014-08-05,PITTSBURGH,Northgate,2014-08-05,76000.0
2014-07-30,PITTSBURGH,Northgate,2014-07-30,1.0
2014-08-13,PITTSBURGH,Pittsburgh,2014-08-13,108900.0
2014-08-12,PITTSBURGH,Pittsburgh,2014-08-12,107000.0
2014-08-14,PITTSBURGH,Pittsburgh,2014-08-14,190000.0
2014-08-22,PITTSBURGH,Pittsburgh,2014-08-22,512000.0
2014-08-25,PITTSBURGH,Pittsburgh,2014-08-25,124000.0
2014-08-29,PITTSBURGH,Pittsburgh,2014-08-29,295000.0
2014-09-02,PITTSBURGH,Pittsburgh,2014-09-02,135000.0
2014-08-29,PITTSBURGH,Pittsburgh,2014-08-29,125000.0
2014-09-05,PITTSBURGH,Northgate,2014-09-05,48000.0
2014-09-11,PITTSBURGH,Pittsburgh,2014-09-11,222000.0
2014-06-26,PITTSBURGH,Pittsburgh,2014-09-22,1.0
2014-08-28,PITTSBURGH,Pittsburgh,2014-09-25,95000.0
2014-08-28,PITTSBURGH,Pittsburgh,2014-09-24,1.0
2014-10-13,PITTSBURGH,Pittsburgh,2014-10-14,135000.0
2014-10-10,PITTSBURGH,Northgate,2014-10-16,46500.0
2014-09-17,PITTSBURGH,Pittsburgh,2014-10-17,127000.0
2014-01-10,PITTSBURGH,Northgate,2014-01-17,68250.0
2014-10-21,PITTSBURGH,Pittsburgh,2014-10-29,180250.0
2014-09-05,PITTSBURGH,Pittsburgh,2014-10-22,93000.0
2014-10-31,PITTSBURGH,Pittsburgh,2014-10-31,180000.0
2014-10-31,PITTSBURGH,Pittsburgh,2014-11-12,17800.0
2014-11-04,PITTSBURGH,Pittsburgh,2014-11-10,129000.0
2014-11-03,PITTSBURGH,Northgate,2014-11-06,68000.0
2014-11-10,PITTSBURGH,Pittsburgh,2014-11-12,160000.0
2014-11-03,PITTSBURGH,Northgate,2014-11-21,63250.0
2014-11-24,PITTSBURGH,Pittsburgh,2014-12-10,550000.0
2014-12-03,PITTSBURGH,Pittsburgh,2014-12-09,131000.0
2014-12-03,PITTSBURGH,Northgate,2014-12-17,48000.0
2014-12-04,PITTSBURGH,Pittsburgh,2014-12-26,235000.0
2014-09-08,PITTSBURGH,Pittsburgh,2014-09-08,335000.0
2014-02-10,PITTSBURGH,Pittsburgh,2014-02-10,0.0
2014-08-06,PITTSBURGH,Pittsburgh,2014-08-06,1.0
2014-02-14,PITTSBURGH,Pittsburgh,2014-02-14,10.0
2014-07-18,PITTSBURGH,Pittsburgh,2014-07-18,106000.0
2014-05-05,PITTSBURGH,Pittsburgh,2014-05-05,188000.0
2014-04-08,PITTSBURGH,Pittsburgh,2014-04-08,197000.0
2014-02-21,PITTSBURGH,Pittsburgh,2014-02-21,227500.0
2014-12-10,PITTSBURGH,Pittsburgh,2014-12-11,75000.0
2014-12-29,PITTSBURGH,Pittsburgh,2015-01-06,163500.0
2015-01-06,PITTSBURGH,Pittsburgh,2015-01-08,550000.0
2014-12-15,PITTSBURGH,Northgate,2015-01-13,1.0
2015-01-06,PITTSBURGH,Pittsburgh,2015-01-08,550000.0
2015-01-16,PITTSBURGH,Pittsburgh,2015-01-27,75000.0
2015-02-03,PITTSBURGH,Pittsburgh,2015-02-06,195000.0
2015-02-20,PITTSBURGH,Pittsburgh,2015-02-23,112000.0
2015-02-12,PITTSBURGH,Pittsburgh,2015-02-13,335000.0
2015-02-13,PITTSBURGH,Pittsburgh,2015-03-02,1.0
2015-02-27,PITTSBURGH,Pittsburgh,2015-03-05,111000.0
2015-03-11,PITTSBURGH,Pittsburgh,2015-03-19,264500.0
2015-03-13,PITTSBURGH,Northgate,2015-03-19,41000.0
2015-03-09,PITTSBURGH,Pittsburgh,2015-03-17,125000.0
2015-03-16,PITTSBURGH,Northgate,2015-03-23,572.0
2015-03-20,PITTSBURGH,Pittsburgh,2015-03-24,194000.0
2015-03-27,PITTSBURGH,Pittsburgh,2015-04-01,130900.0
2015-04-02,PITTSBURGH,Pittsburgh,2015-04-08,187500.0
2015-04-06,PITTSBURGH,Pittsburgh,2015-04-09,110000.0
2015-04-15,PITTSBURGH,Pittsburgh,2015-04-16,94000.0
2015-04-10,PITTSBURGH,Pittsburgh,2015-04-28,232000.0
2015-04-20,PITTSBURGH,Pittsburgh,2015-04-28,247500.0
2015-04-21,PITTSBURGH,Pittsburgh,2015-04-27,411500.0
2015-04-07,PITTSBURGH,Northgate,2015-04-29,64500.0
2015-04-30,PITTSBURGH,Northgate,2015-04-30,68000.0
2015-04-13,PITTSBURGH,Pittsburgh,2015-04-24,120500.0
2015-03-21,PITTSBURGH,Pittsburgh,2015-05-05,116000.0
2015-04-30,PITTSBURGH,Pittsburgh,2015-05-05,220000.0
2015-04-24,PITTSBURGH,Pittsburgh,2015-05-14,140000.0
2015-05-09,PITTSBURGH,Pittsburgh,2015-05-12,190000.0
2015-05-12,PITTSBURGH,Pittsburgh,2015-05-13,117000.0
2014-08-18,PITTSBURGH,Pittsburgh,2014-09-12,125000.0
2015-05-22,PITTSBURGH,Pittsburgh,2015-05-22,119900.0
2015-05-22,PITTSBURGH,Pittsburgh,2015-05-26,280000.0
2015-05-09,PITTSBURGH,Pittsburgh,2015-05-21,116500.0
2015-05-08,PITTSBURGH,Pittsburgh,2015-05-22,106500.0
2015-05-11,PITTSBURGH,Pittsburgh,2015-05-26,162500.0
2015-05-18,PITTSBURGH,Pittsburgh,2015-05-29,125000.0
2015-05-19,PITTSBURGH,Pittsburgh,2015-05-26,72750.0
2015-05-15,PITTSBURGH,Pittsburgh,2015-06-02,215000.0
2015-05-29,PITTSBURGH,Pittsburgh,2015-06-01,115000.0
2015-06-01,PITTSBURGH,Pittsburgh,2015-06-02,170000.0
2015-05-22,PITTSBURGH,Pittsburgh,2015-06-08,88000.0
2015-06-09,PITTSBURGH,Northgate,2015-06-16,54800.0
2015-05-30,PITTSBURGH,Pittsburgh,2015-06-16,275000.0
2015-06-12,PITTSBURGH,Pittsburgh,2015-06-17,1.0
2015-06-08,PITTSBURGH,Northgate,2015-06-19,74000.0
2015-06-15,PITTSBURGH,Northgate,2015-06-26,70900.0
2015-06-12,PITTSBURGH,Northgate,2015-06-25,50000.0
2015-06-19,PITTSBURGH,Pittsburgh,2015-06-29,141000.0
2015-06-20,PITTSBURGH,Pittsburgh,2015-06-30,73900.0
2015-05-07,PITTSBURGH,Pittsburgh,2015-06-30,205000.0
2015-06-17,PITTSBURGH,Pittsburgh,2015-07-08,1.0
2015-07-01,PITTSBURGH,Pittsburgh,2015-07-06,121000.0
2015-06-25,PITTSBURGH,Pittsburgh,2015-07-06,248000.0
2015-06-27,PITTSBURGH,Pittsburgh,2015-07-07,163000.0
2015-06-29,PITTSBURGH,Pittsburgh,2015-07-06,140000.0
2015-07-08,PITTSBURGH,Northgate,2015-07-14,61000.0
2015-07-17,PITTSBURGH,Pittsburgh,2015-07-17,720000.0
2015-07-06,PITTSBURGH,Pittsburgh,2015-07-20,136000.0
2015-07-11,PITTSBURGH,Pittsburgh,2015-07-15,1.0
2015-07-20,PITTSBURGH,Northgate,2015-07-24,45000.0
2015-07-13,PITTSBURGH,Pittsburgh,2015-07-30,170000.0
2015-07-29,PITTSBURGH,Pittsburgh,2015-08-06,352000.0
2015-08-14,PITTSBURGH,Pittsburgh,2015-08-19,236000.0
2015-07-06,PITTSBURGH,Pittsburgh,2015-08-10,188000.0
2015-08-19,PITTSBURGH,Pittsburgh,2015-08-21,120500.0
2015-08-28,PITTSBURGH,Pittsburgh,2015-08-28,610000.0
2015-08-24,PITTSBURGH,Pittsburgh,2015-08-28,145000.0
2015-07-16,PITTSBURGH,Pittsburgh,2015-08-25,70000.0
2015-08-28,PITTSBURGH,Pittsburgh,2015-09-04,10000.0
2015-08-20,PITTSBURGH,Pittsburgh,2015-09-02,115000.0
2015-09-01,PITTSBURGH,Pittsburgh,2015-09-04,115000.0
2015-08-26,PITTSBURGH,Pittsburgh,2015-09-03,0.0
2015-08-27,PITTSBURGH,Pittsburgh,2015-09-01,0.0
2015-09-01,PITTSBURGH,Pittsburgh,2015-09-11,1.0
2015-09-15,PITTSBURGH,Pittsburgh,2015-09-16,243500.0
2015-05-06,PITTSBURGH,Pittsburgh,2015-05-29,99800.0
2015-09-24,PITTSBURGH,Pittsburgh,2015-09-25,260000.0
2015-08-03,PITTSBURGH,Pittsburgh,2015-09-28,2206.0
2015-09-25,PITTSBURGH,Northgate,2015-09-29,49000.0
2015-10-06,PITTSBURGH,Pittsburgh,2015-10-14,124900.0
2015-09-30,PITTSBURGH,Pittsburgh,2015-10-08,380000.0
2015-09-30,PITTSBURGH,Pittsburgh,2015-10-13,320000.0
2015-09-23,PITTSBURGH,Pittsburgh,2015-10-06,1.0
