date,inventory,homes_sold,median_sale_price
1/1/20,1250798,377964,289000
2/1/20,1265253,405992,294000
3/1/20,1316823,507324,303000
4/1/20,1297460,436855,304000
5/1/20,1289500,421351,299000
6/1/20,1219863,587635,310000
7/1/20,1165359,700733,323000
8/1/20,1066903,652878,328000
2/1/12,2078931,304737,160000
3/1/12,2120173,394034,171000
4/1/12,2155803,404927,178000
5/1/12,2163303,464281,186000
6/1/12,2145658,487959,194000
7/1/12,2109202,451243,192000
8/1/12,2048712,485480,190000
9/1/12,2010080,392397,187000
10/1/12,1936114,423079,185000
11/1/12,1823542,398471,189000
12/1/12,1666931,391200,193000
1/1/13,1680276,311458,180000
2/1/13,1715241,322111,181000
3/1/13,1758071,419901,193000
4/1/13,1842873,459989,199000
5/1/13,1911782,534797,209000
6/1/13,1953106,526615,219000
7/1/13,1983624,548495,220000
8/1/13,1984408,537397,217000
9/1/13,1990299,448002,210000
10/1/13,1963663,447647,210000
11/1/13,1863258,384211,208000
12/1/13,1698019,408673,212000
1/1/14,1713791,303454,200000
2/1/14,1748964,310918,201000
3/1/14,1820559,392509,210000
4/1/14,1889755,444227,215000
5/1/14,1963564,507516,222000
6/1/14,2040323,542753,229000
7/1/14,2114760,534616,229000
8/1/14,2104706,514686,226000
9/1/14,2090802,469975,220000
10/1/14,2030677,480451,219000
11/1/14,1905627,378599,220000
12/1/14,1734475,445766,222000
1/1/15,1738614,309723,213000
2/1/15,1751581,336264,215000
3/1/15,1811084,459391,225000
4/1/15,1925430,496899,231000
5/1/15,2011729,545672,239000
6/1/15,2047119,633602,245000
7/1/15,2062443,624705,242000
8/1/15,2032207,564118,240000
9/1/15,2002245,525632,234000
10/1/15,1930467,496814,233000
11/1/15,1803188,393948,234000
12/1/15,1615706,489030,238000
1/1/16,1604314,341903,228000
2/1/16,1639331,365754,227000
3/1/16,1719652,486821,239000
4/1/16,1793818,526883,245000
5/1/16,1831656,591629,252000
6/1/16,1871580,661162,259000
7/1/16,1890218,584704,257000
8/1/16,1850571,614179,256000
9/1/16,1830744,552047,253000
10/1/16,1746324,502638,251000
11/1/16,1611721,476043,254000
12/1/16,1426958,497955,254000
1/1/17,1415212,361174,247000
2/1/17,1446179,369326,247000
3/1/17,1522912,534054,257000
4/1/17,1586017,516942,263000
5/1/17,1645405,631410,269000
6/1/17,1704387,692914,277000
7/1/17,1716298,592302,273000
8/1/17,1696710,629131,271000
9/1/17,1676769,535338,268000
10/1/17,1606239,526858,268000
11/1/17,1479362,495462,270000
12/1/17,1299249,499650,271000
1/1/18,1286362,366414,264000
2/1/18,1327008,377871,268000
3/1/18,1385696,520689,277000
4/1/18,1465347,544884,281000
5/1/18,1570615,633938,287000
6/1/18,1645582,670694,292000
7/1/18,1668224,623847,287000
8/1/18,1691330,640299,284000
9/1/18,1711008,499189,278000
10/1/18,1679657,528733,277000
11/1/18,1577743,479668,279000
12/1/18,1406298,445037,277000
1/1/19,1421187,336063,272000
2/1/19,1439784,374990,275000
3/1/19,1494395,490722,283000
4/1/19,1563284,550804,290000
5/1/19,1657511,647282,298000
6/1/19,1696761,624623,303000
7/1/19,1681451,636452,299000
8/1/19,1660309,627929,296000
9/1/19,1651469,532688,292000
10/1/19,1598498,543858,293000
11/1/19,1459546,480575,294000
12/1/19,1260286,511937,295000