CustomerID,Card Type,Age,Annual Income,Spending Score
1,Credit,19,15000,39
2,Credit,21,15000,81
3,Debit,20,16000,6
4,Debit,23,16000,77
5,Debit,31,17000,40
6,Debit,22,17000,76
7,Debit,35,18000,6
8,Debit,23,18000,94
9,Credit,64,19000,3
10,Debit,30,19000,72
11,Credit,67,19000,14
12,Debit,35,19000,99
13,Debit,58,20000,15
14,Debit,24,20000,77
15,Credit,37,20000,13
16,Credit,22,20000,79
17,Debit,35,21000,35
18,Credit,20,21000,66
19,Credit,52,23000,29
20,Debit,35,23000,98
21,Credit,35,24000,35
22,Credit,25,24000,73
23,Debit,46,25000,5
24,Credit,31,25000,73
25,Debit,54,28000,14
26,Credit,29,28000,82
27,Debit,45,28000,32
28,Credit,35,28000,61
29,Debit,40,29000,31
30,Debit,23,29000,87
31,Credit,60,30000,4
32,Debit,21,30000,73
33,Credit,53,33000,4
34,Credit,18,33000,92
35,Debit,49,33000,14
36,Debit,21,33000,81
37,Debit,42,34000,17
38,Debit,30,34000,73
39,Debit,36,37000,26
40,Debit,20,37000,75
41,Debit,65,38000,35
42,Credit,24,38000,92
43,Credit,48,39000,36
44,Debit,31,39000,61
45,Debit,49,39000,28
46,Debit,24,39000,65
47,Debit,50,40000,55
48,Debit,27,40000,47
49,Debit,29,40000,42
50,Debit,31,40000,42
51,Debit,49,42000,52
52,Credit,33,42000,60
53,Debit,31,43000,54
54,Credit,59,43000,60
55,Debit,50,43000,45
56,Credit,47,43000,41
57,Debit,51,44000,50
58,Credit,69,44000,46
59,Debit,27,46000,51
60,Credit,53,46000,46
61,Credit,70,46000,56
62,Credit,19,46000,55
63,Debit,67,47000,52
64,Debit,54,47000,59
65,Credit,63,48000,51
66,Credit,18,48000,59
67,Debit,43,48000,50
68,Debit,68,48000,48
69,Credit,19,48000,59
70,Debit,32,48000,47
71,Credit,70,49000,55
72,Debit,47,49000,42
73,Debit,60,50000,49
74,Debit,60,50000,56
75,Credit,59,54000,47
76,Credit,26,54000,54
77,Debit,45,54000,53
78,Credit,40,54000,48
79,Debit,23,54000,52
80,Debit,49,54000,42
81,Credit,57,54000,51
82,Credit,38,54000,55
83,Credit,67,54000,41
84,Debit,46,54000,44
85,Debit,21,54000,57
86,Credit,48,54000,46
87,Debit,55,57000,58
88,Debit,22,57000,55
89,Debit,34,58000,60
90,Debit,50,58000,46
91,Debit,68,59000,55
92,Credit,18,59000,41
93,Credit,48,60000,49
94,Debit,40,60000,40
95,Debit,32,60000,42
96,Credit,24,60000,52
97,Debit,47,60000,47
98,Debit,27,60000,50
99,Credit,48,61000,42
100,Credit,20,61000,49
101,Debit,23,62000,41
102,Debit,49,62000,48
103,Credit,67,62000,59
104,Credit,26,62000,55
105,Credit,49,62000,56
106,Debit,21,62000,42
107,Debit,66,63000,50
108,Credit,54,63000,46
109,Credit,68,63000,43
110,Credit,66,63000,48
111,Credit,65,63000,52
112,Debit,19,63000,54
113,Debit,38,64000,42
114,Credit,19,64000,46
115,Debit,18,65000,48
116,Debit,19,65000,50
117,Debit,63,65000,43
118,Debit,49,65000,59
119,Debit,51,67000,43
120,Debit,50,67000,57
121,Credit,27,67000,56
122,Debit,38,67000,40
123,Debit,40,69000,58
124,Credit,39,69000,91
125,Debit,23,70000,29
126,Debit,31,70000,77
127,Credit,43,71000,35
128,Credit,40,71000,95
129,Credit,59,71000,11
130,Credit,38,71000,75
131,Credit,47,71000,9
132,Credit,39,71000,75
133,Debit,25,72000,34
134,Debit,31,72000,71
135,Credit,20,73000,5
136,Debit,29,73000,88
137,Debit,44,73000,7
138,Credit,32,73000,73
139,Credit,19,74000,10
140,Debit,35,74000,72
141,Debit,57,75000,5
142,Credit,32,75000,93
143,Debit,28,76000,40
144,Debit,32,76000,87
145,Credit,25,77000,12
146,Credit,28,77000,97
147,Credit,48,77000,36
148,Debit,32,77000,74
149,Debit,34,78000,22
150,Credit,34,78000,90
151,Credit,43,78000,17
152,Credit,39,78000,88
153,Debit,44,78000,20
154,Debit,38,78000,76
155,Debit,47,78000,16
156,Debit,27,78000,89
157,Credit,37,78000,1
158,Debit,30,78000,78
159,Credit,34,78000,1
160,Debit,30,78000,73
161,Debit,56,79000,35
162,Debit,29,79000,83
163,Credit,19,81000,5
164,Debit,31,81000,93
165,Credit,50,85000,26
166,Debit,36,85000,75
167,Credit,42,86000,20
168,Debit,33,86000,95
169,Debit,36,87000,27
170,Credit,32,87000,63
171,Credit,40,87000,13
172,Credit,28,87000,75
173,Credit,36,87000,10
174,Credit,36,87000,92
175,Debit,52,88000,13
176,Debit,30,88000,86
177,Credit,58,88000,15
178,Credit,27,88000,69
179,Credit,59,93000,14
180,Credit,35,93000,90
181,Debit,37,97000,32
182,Debit,32,97000,86
183,Credit,46,98000,15
184,Debit,29,98000,88
185,Debit,41,99000,39
186,Credit,30,99000,97
187,Debit,54,101000,24
188,Credit,28,101000,68
189,Debit,41,103000,17
190,Debit,36,103000,85
191,Debit,34,103000,23
192,Debit,32,103000,69
193,Credit,33,113000,8
194,Debit,38,113000,91
195,Debit,47,120000,16
196,Debit,35,120000,79
197,Debit,45,126000,28
198,Credit,32,126000,74
199,Credit,32,137000,18
200,Credit,30,137000,83