week,canada,uruguay
11/8/15,74,17
11/15/15,81,17
11/22/15,94,17
11/29/15,92,0
12/6/15,87,18
12/13/15,87,18
12/20/15,96,0
12/27/15,90,21
1/3/16,68,20
1/10/16,62,0
1/17/16,60,20
1/24/16,46,19
1/31/16,43,19
2/7/16,43,39
2/14/16,35,0
2/21/16,42,19
2/28/16,35,27
3/6/16,36,34
3/13/16,33,35
3/20/16,35,20
3/27/16,28,17
4/3/16,27,51
4/10/16,29,41
4/17/16,22,33
4/24/16,27,77
5/1/16,26,60
5/8/16,23,36
5/15/16,23,53
5/22/16,20,89
5/29/16,22,74
6/5/16,25,100
6/12/16,21,77
6/19/16,20,72
6/26/16,22,64
7/3/16,22,53
7/10/16,21,43
7/17/16,23,33
7/24/16,19,36
7/31/16,23,73
8/7/16,22,33
8/14/16,28,60
8/21/16,34,20
8/28/16,30,18
9/4/16,30,18
9/11/16,32,18
9/18/16,42,0
9/25/16,52,19
10/2/16,53,19
10/9/16,56,19
10/16/16,59,18
10/23/16,72,36
10/30/16,67,19
11/6/16,65,0
11/13/16,72,19
11/20/16,93,19
11/27/16,85,19
12/4/16,89,19
12/11/16,100,0
12/18/16,91,20
12/25/16,78,0
1/1/17,63,20
1/8/17,59,0
1/15/17,49,0
1/22/17,42,37
1/29/17,43,18
2/5/17,41,17
2/12/17,36,0
2/19/17,29,0
2/26/17,32,37
3/5/17,31,27
3/12/17,34,18
3/19/17,32,18
3/26/17,25,26
4/2/17,21,35
4/9/17,25,40
4/16/17,27,59
4/23/17,23,29
4/30/17,28,73
5/7/17,26,28
5/14/17,23,56
5/21/17,21,56
5/28/17,17,68
6/4/17,22,99
6/11/17,20,54
6/18/17,22,91
6/25/17,22,37
7/2/17,24,49
7/9/17,19,18
7/16/17,18,65
7/23/17,24,59
7/30/17,20,42
8/6/17,24,22
8/13/17,26,18
8/20/17,25,35
8/27/17,29,16
9/3/17,31,24
9/10/17,32,0
9/17/17,35,0
9/24/17,40,17
10/1/17,43,17
10/8/17,53,26
10/15/17,55,17
10/22/17,52,0
10/29/17,57,36
11/5/17,78,88
11/12/17,73,35
11/19/17,77,0
11/26/17,75,0
12/3/17,78,18
12/10/17,88,18
12/17/17,79,18
12/24/17,80,21
12/31/17,60,19
1/7/18,50,18
1/14/18,49,35
1/21/18,41,18
1/28/18,34,35
2/4/18,41,0
2/11/18,35,18
2/18/18,35,0
2/25/18,36,17
3/4/18,30,0
3/11/18,30,24
3/18/18,30,32
3/25/18,27,19
4/1/18,26,16
4/8/18,26,33
4/15/18,23,17
4/22/18,21,33
4/29/18,21,32
5/6/18,22,24
5/13/18,23,87
5/20/18,23,54
5/27/18,16,32
6/3/18,23,76
6/10/18,21,72
6/17/18,16,49
6/24/18,21,54
7/1/18,20,39
7/8/18,21,60
7/15/18,19,43
7/22/18,20,57
7/29/18,22,32
8/5/18,27,39
8/12/18,23,16
8/19/18,25,22
8/26/18,25,24
9/2/18,25,25
9/9/18,33,16
9/16/18,36,17
9/23/18,43,24
9/30/18,43,17
10/7/18,43,17
10/14/18,60,18
10/21/18,61,17
10/28/18,50,0
11/4/18,56,16
11/11/18,66,16
11/18/18,77,0
11/25/18,60,17
12/2/18,67,18
12/9/18,74,0
12/16/18,73,17
12/23/18,65,0
12/30/18,55,19
1/6/19,46,17
1/13/19,47,0
1/20/19,40,0
1/27/19,42,16
2/3/19,46,0
2/10/19,38,0
2/17/19,36,0
2/24/19,31,16
3/3/19,35,0
3/10/19,30,16
3/17/19,28,32
3/24/19,32,24
3/31/19,22,43
4/7/19,25,34
4/14/19,25,26
4/21/19,22,39
4/28/19,26,17
5/5/19,24,26
5/12/19,21,42
5/19/19,23,26
5/26/19,20,47
6/2/19,19,42
6/9/19,18,48
6/16/19,20,29
6/23/19,17,20
6/30/19,19,61
7/7/19,19,49
7/14/19,19,44
7/21/19,19,30
7/28/19,18,40
8/4/19,21,27
8/11/19,24,32
8/18/19,24,22
8/25/19,25,0
9/1/19,27,47
9/8/19,32,0
9/15/19,37,0
9/22/19,35,16
9/29/19,38,0
10/6/19,44,30
10/13/19,47,44
10/20/19,50,15
10/27/19,49,14
11/3/19,63,15
11/10/19,64,15
11/17/19,57,15
11/24/19,64,0
12/1/19,68,16
12/8/19,67,0
12/15/19,76,15
12/22/19,58,18
12/29/19,51,0
1/5/20,39,0
1/12/20,41,0
1/19/20,34,0
1/26/20,33,16
2/2/20,42,0
2/9/20,41,0
2/16/20,33,31
2/23/20,34,16
3/1/20,32,0
3/8/20,21,14
3/15/20,18,21
3/22/20,22,19
3/29/20,33,32
4/5/20,27,44
4/12/20,24,45
4/19/20,26,26
4/26/20,18,22
5/3/20,25,31
5/10/20,25,37
5/17/20,22,32
5/24/20,20,55
5/31/20,21,61
6/7/20,21,44
6/14/20,24,60
6/21/20,20,46
6/28/20,25,94
7/5/20,22,59
7/12/20,20,70
7/19/20,24,30
7/26/20,25,54
8/2/20,25,14
8/9/20,24,29
8/16/20,29,29
8/23/20,30,14
8/30/20,32,28
9/6/20,34,14
9/13/20,32,34
9/20/20,37,15
9/27/20,33,14
10/4/20,38,15
10/11/20,43,15
10/18/20,42,14
10/25/20,43,0