Year,Month,Amount,Term,Zip,CreateJob,NoEmp,RealEstate,RevLineCr,UrbanRural,Default
2001,11,32812,36,92801,0,1,0,1,0,0
2001,4,30000,56,90505,0,1,0,1,0,0
2001,4,30000,36,92103,0,10,0,1,0,0
2003,10,50000,36,92108,0,6,0,1,0,0
2006,7,343000,240,91345,3,65,1,0,2,0
2003,7,55825,84,95831,0,1,0,1,0,0
2006,7,67047,84,90808,2,1,0,1,1,0
2004,4,17500,84,94583,0,4,0,1,2,0
2004,7,17536,84,94103,0,1,0,1,2,0
2004,1,33276,84,95746,0,12,0,1,2,0
2004,11,30502,60,95965,0,8,0,1,2,0
2006,12,25000,60,91505,7,13,0,1,2,0
2004,2,20000,84,94550,0,1,0,1,2,0
1997,12,1000000,300,92101,0,15,1,0,0,0
2004,6,10000,84,91356,0,22,0,1,2,0
2006,6,79000,240,92507,8,13,1,0,2,0
2006,2,249000,240,92507,8,13,1,0,2,0
2006,10,59450,84,91604,0,3,0,1,1,0
2004,4,25530,84,94080,0,3,0,1,2,0
2005,4,64000,32,95030,0,5,0,1,2,0
2005,12,39000,84,94901,0,4,0,0,2,0
2005,3,25000,84,94707,0,3,0,0,2,0
2005,4,32697,84,95037,0,2,0,1,2,0
2005,12,25000,84,91208,0,4,0,1,2,0
2005,10,10000,84,95630,0,1,0,1,2,0
2005,12,10000,84,93610,0,2,0,0,1,0
2005,12,35000,84,92656,0,1,0,0,2,0
1997,12,150500,300,92545,0,30,1,0,0,0
2005,9,100000,84,92708,0,8,0,0,2,0
2005,8,50000,84,92307,0,3,0,1,2,0
2005,2,11000,84,93546,0,2,0,1,1,0
2005,7,50000,84,92590,0,7,0,0,2,0
2005,9,229540,84,91941,0,6,0,1,2,0
2005,7,113000,84,92648,0,4,0,1,2,0
2005,8,50000,84,92083,2,18,0,0,2,0
2005,3,10000,84,91505,0,2,0,1,2,0
2005,7,100000,84,92260,4,58,0,0,2,0
2006,8,229000,240,95945,6,13,1,0,1,0
2005,7,50000,84,92887,0,4,0,1,2,0
2005,3,50000,84,95628,1,4,0,0,2,0
2005,6,50000,84,93604,1,30,0,0,1,0
2005,4,64000,84,94070,0,6,0,1,2,0
2005,1,60000,60,92879,0,2,0,0,2,0
2005,3,58602,84,94526,0,4,0,1,2,0
1997,7,100000,119,92115,0,3,0,0,0,0
2005,8,19700,84,90210,1,2,0,1,2,0
2005,11,67597,84,93010,0,5,0,1,2,0
2006,6,568000,240,92807,20,345,1,0,2,0
1997,6,357000,240,92056,13,7,1,0,0,0
2005,5,14900,84,91311,0,1,0,1,2,0
2005,5,10000,84,94588,0,1,0,1,2,0
2005,4,10000,36,91607,0,30,0,0,2,0
2005,6,10000,84,91914,0,2,0,1,2,0
2005,11,35000,84,92173,2,4,0,0,2,0
2005,2,139892,84,90274,1,4,0,1,2,0
1997,1,504000,300,90006,0,5,1,0,0,0
2005,9,111500,84,91030,3,12,0,1,2,0
2005,11,50000,84,91780,3,5,0,0,2,0
1997,8,48449,84,94706,0,1,0,0,2,0
2006,2,557000,240,94115,5,6,1,0,2,0
2005,9,12970,33,93906,0,1,0,0,2,0
2005,8,28500,84,91606,0,4,0,1,1,0
2005,5,79500,84,91201,0,4,0,1,2,0
2006,11,914000,240,92084,6,34,1,0,2,0
2005,4,30000,84,92627,0,6,0,1,2,0
2005,3,50000,84,90211,0,3,0,0,2,0
1997,4,302000,300,93611,0,6,1,0,0,0
2005,3,50000,84,90266,0,80,0,0,2,0
2005,7,92446,84,91601,0,1,0,1,2,0
2005,11,55000,84,94523,0,6,0,1,2,0
2005,7,93000,84,92101,1,5,0,1,2,0
2005,1,20000,36,92553,0,5,0,0,2,0
2005,2,69500,84,91776,3,3,0,1,2,0
2005,12,21500,84,92549,0,5,0,1,2,0
2006,4,150000,73,90201,69,31,0,1,2,0
2005,6,1240000,300,90631,0,21,1,0,2,0
2005,10,140000,84,92110,50,21,0,0,2,0
2005,4,22964,84,92110,50,21,0,1,2,0
1997,9,257000,300,92234,0,9,1,0,0,0
2005,9,65000,84,90004,1,1,0,1,2,0
2006,9,105000,240,92501,3,20,1,0,2,0
2005,9,61483,84,92404,0,1,0,1,2,0
1997,8,140000,120,93433,0,7,0,0,0,0
2005,5,70112,84,94104,0,3,0,1,2,0
2006,9,825000,120,93905,0,6,0,0,2,0
1997,8,720000,300,90004,0,7,1,0,0,0
2005,9,10800,60,93654,2,2,0,0,2,0
1997,6,369000,300,92630,0,130,1,0,0,0
2006,4,50000,84,92009,0,1,0,1,2,0
2006,5,329825,84,90266,0,1,0,1,2,0
2006,12,50000,84,91762,3,1,0,0,2,0
2006,10,98863,84,91789,0,5,0,1,1,0
2006,1,83768,84,91362,2,5,0,1,1,0
1997,5,100000,120,90004,0,7,0,0,0,0
2006,8,60399,84,94541,0,2,0,1,2,0
1997,5,50000,120,90706,0,1,0,0,0,0
2006,3,12973,84,94089,1,1,0,1,2,0
2006,7,40000,60,92653,1,7,0,1,2,0
2006,12,45736,84,90025,1,5,0,1,2,0
2006,12,252539,84,94111,0,2,0,1,2,0
2006,1,669000,240,92701,3,13,1,0,2,0
2006,7,49310,84,95128,0,3,0,1,2,0
2006,2,952000,300,91205,4,4,1,0,2,0
1997,10,500000,300,91360,0,10,1,0,0,0
2006,1,89500,84,90046,0,3,0,1,2,0
2006,1,65000,84,94541,0,1,0,1,2,0
2006,9,15000,84,94108,1,4,0,0,2,0
2006,12,905000,240,91730,5,34,1,0,2,0
2006,4,50000,84,90020,2,2,0,0,2,0
1998,10,50000,120,92509,0,2,0,0,0,0
2006,8,9350,55,91773,0,4,0,1,2,0
2006,3,50000,84,94023,0,1,0,1,2,0
2006,3,29000,84,90041,0,1,0,1,2,0
2006,7,452942,84,95361,3,1,0,1,2,0
2006,10,123471,84,94124,0,2,0,1,2,0
2006,4,1117000,240,92627,6,19,1,0,2,0
2006,1,50000,84,92106,0,3,0,1,2,0
2006,5,181219,84,94574,0,2,0,1,2,0
2006,2,89186,84,92648,1,2,0,1,2,0
2006,11,118885,84,92056,1,1,0,1,2,0
2006,6,399602,24,92106,0,2,0,1,2,0
2006,7,73000,84,94111,0,1,0,1,2,0
2006,6,89313,84,90274,0,1,0,1,2,0
1998,5,100000,120,94577,0,1,0,0,0,0
2006,7,14121,5,91733,0,1,0,1,2,0
2006,6,25000,84,94133,0,1,0,0,2,0
2006,1,990000,300,91208,4,8,1,0,2,0
2006,9,25000,84,95826,1,1,0,0,2,0
1998,3,105000,120,95540,0,1,0,0,0,0
2006,6,1525000,120,94545,0,15,0,0,2,0
2006,12,50000,84,93219,1,2,0,1,1,0
2006,7,278400,120,92592,2,3,0,0,2,0
2006,4,10000,84,90265,0,2,0,1,1,0
2006,1,62000,84,91786,0,3,0,0,2,0
2006,10,2000000,120,96013,0,150,0,0,1,0
2006,6,15000,84,95926,3,2,0,0,2,0
2006,10,110174,84,94117,3,8,0,1,2,0
2006,8,184101,69,93291,4,1,0,0,2,0
2006,2,100000,32,93292,4,1,0,1,2,0
2006,10,109842,84,92010,0,1,0,1,2,0
2006,3,164554,84,90720,0,2,0,1,2,0
2006,6,25000,84,91784,2,4,0,0,2,0
2006,12,20000,84,95128,0,1,0,1,2,0
2006,3,5000,84,93702,1,1,0,1,2,0
2006,6,10000,84,94044,0,1,0,1,2,0
2006,4,1000000,120,92544,0,23,0,0,2,0
2006,9,25000,84,90680,0,2,0,0,2,0
2006,7,25015,84,90680,0,2,0,1,2,0
2006,9,320000,120,93612,5,1,0,0,2,0
2006,11,5000,84,90212,10,6,0,1,2,0
2006,7,28000,60,95816,2,2,0,0,2,0
2006,8,263954,84,94070,0,1,0,1,2,0
2006,1,454000,240,95401,9,1,1,0,2,0
2006,6,11975,84,95678,1,2,0,1,2,0
2006,5,5000,84,90804,0,3,0,1,1,0
2006,1,89947,84,91304,0,1,0,1,2,0
2006,7,125000,90,90036,1,2,0,0,2,0
2006,7,161000,240,95451,10,35,1,0,2,0
1998,7,808600,109,90505,0,6,0,0,0,0
2006,12,76500,300,93257,2,2,1,0,1,0
2006,2,12500,84,93257,2,2,0,0,1,0
2006,6,10000,60,93257,2,2,0,1,1,0
2006,8,404000,240,94585,2,9,1,0,2,0
2006,9,15000,84,91355,0,7,0,1,2,0
2006,8,25000,84,93730,0,1,0,0,2,0
2006,9,100000,84,90716,0,2,0,0,2,0
2006,5,109368,36,93449,0,1,0,1,1,0
2006,8,344000,240,95337,10,5,1,0,2,0
2006,3,547000,240,94531,15,1,1,0,2,0
2006,3,48204,84,95131,2,2,0,1,2,0
2006,11,16000,84,95132,0,1,0,1,2,0
2006,7,309056,72,90010,5,8,0,1,2,0
2006,11,43922,84,92867,1,3,0,1,2,0
2006,3,78180,84,95110,0,3,0,1,2,0
2006,9,15000,84,90242,0,11,0,1,2,0
1998,4,100000,84,95201,0,21,0,0,0,0
2006,5,150000,240,92626,1,2,1,0,2,0
2006,5,15000,84,93221,0,1,0,0,2,0
2006,9,785000,240,95070,50,100,1,0,2,0
1998,11,27000,84,90066,0,6,0,0,0,0
1998,11,1000000,120,91405,0,20,0,0,0,0
2007,12,13000,84,95816,0,1,0,1,2,0
2007,6,25000,84,95959,0,1,0,0,2,0
2007,11,62758,84,95695,0,1,0,1,2,0
2007,12,68571,84,92886,0,1,0,1,2,0
2006,4,105000,120,95132,2,2,0,0,2,0
2006,5,10000,84,92359,3,1,0,1,2,0
2006,11,475000,240,94513,12,7,1,0,2,0
2007,12,15000,84,95377,0,1,0,0,2,0
2007,2,232760,84,95131,0,3,0,1,2,0
2007,5,70000,60,91344,0,4,0,0,2,0
2007,3,25000,84,94587,2,3,0,0,2,0
1998,2,360000,120,93529,0,7,0,0,0,0
2007,11,50000,90,94123,4,2,0,0,2,0
2007,8,25000,84,95131,0,1,0,0,2,0
1998,9,60000,84,94110,0,5,0,0,0,0
2007,1,25000,84,94087,0,1,0,1,2,0
2007,9,264888,84,94550,0,5,0,1,2,0
2007,3,102653,84,94404,2,1,0,1,2,0
1998,10,50000,120,90706,0,1,0,0,0,0
2006,8,109300,84,90094,1,1,0,1,2,0
2007,11,36379,84,92879,0,1,0,1,2,0
1998,11,60000,84,93933,0,5,0,0,0,0
2007,9,250000,12,93711,1,1,0,1,2,0
1998,7,100000,98,90717,0,20,0,0,0,0
2007,10,32100,60,95691,1,1,0,0,2,0
1998,6,29000,60,93232,0,4,0,0,0,0
1998,12,881800,276,93230,0,23,1,0,0,0
1998,10,105000,120,93003,0,6,0,0,0,0
2007,7,12550,84,92807,0,5,0,1,2,0
1998,11,188000,300,94134,0,7,1,0,0,0
2006,4,230500,300,91710,0,4,1,0,2,0
2006,5,389000,240,96001,37,13,1,0,1,0
2007,12,50000,84,92037,0,1,0,1,2,0
2006,4,18770,84,92083,0,1,0,1,2,0
1998,9,180000,300,91335,0,5,1,0,0,0
2007,4,25000,84,95014,0,2,0,0,2,0
2006,9,50000,84,92037,1,3,0,1,1,0
2007,6,22500,84,90040,0,4,0,1,2,0
1998,3,50000,84,90401,0,10,0,1,0,0
1998,10,688500,300,91340,2,4,1,0,0,0
2006,3,497000,240,93274,15,1,1,0,2,0
2007,10,94049,84,94941,0,2,0,1,2,0
2007,11,96367,84,94903,0,2,0,1,2,0
2007,9,87550,84,91204,0,9,0,1,2,0
2007,9,526000,300,91352,3,7,1,0,2,0
2007,7,19300,60,95138,0,2,0,0,2,0
2007,2,50000,84,93940,0,1,0,0,2,0
2006,10,100000,60,92404,2,2,0,0,2,0
2006,8,70460,84,95014,0,2,0,1,1,0
2007,10,37500,84,93003,0,16,0,1,2,0
2006,2,341000,240,94107,15,50,1,0,2,0
2006,11,104000,60,91324,0,2,0,0,2,0
2007,5,10000,84,94116,1,1,0,0,2,0
2006,8,580000,240,95816,15,16,1,0,2,0
2007,10,5000,84,95111,0,3,0,1,2,0
2007,5,35331,111,91101,0,6,0,0,2,0
1998,12,30000,84,93612,0,7,0,0,0,0
2007,7,47000,84,90069,0,12,0,1,2,0
1998,9,300000,120,93706,0,5,0,0,0,0
2007,12,30000,84,93710,1,4,0,1,2,0
2007,10,300000,120,92891,1,2,0,0,2,0
1998,8,134000,300,92116,0,1,1,0,0,0
2007,5,25000,84,91709,1,1,0,0,2,0
2006,5,60401,84,92656,0,4,0,1,2,0
2007,11,20500,84,90044,0,1,0,0,2,0
2006,2,286000,240,94531,5,15,1,0,2,0
1998,8,100000,120,90066,0,2,0,0,0,0
2006,3,165000,240,95834,30,5,1,0,2,0
2006,4,724000,240,95138,4,7,1,0,2,0
1998,7,32900,84,91776,0,25,0,1,0,0
2007,5,100000,84,94086,1,2,0,0,2,0
2006,10,371000,240,90068,5,5,1,0,2,0
1998,10,970000,276,92632,0,3,1,0,0,0
2006,5,598000,240,95138,2,7,1,0,2,0
2006,1,1003000,240,92408,7,7,1,0,2,0
2006,4,1836000,240,92019,26,1,1,0,2,0
2006,1,1386000,240,91104,8,6,1,0,2,0
2007,3,1329000,300,91405,1,4,1,0,2,0
2007,7,120000,300,91405,1,4,1,0,2,0
2006,1,764000,240,95111,45,140,1,0,2,0
2007,6,73750,84,95120,0,2,0,1,2,0
2007,2,52808,84,95501,0,1,0,1,1,0
2007,8,125347,84,94510,0,1,0,1,2,0
2006,4,150000,36,92606,3,6,0,1,2,0
2006,10,170000,84,91601,9,5,0,0,2,0
2007,2,30000,84,93921,0,1,0,1,2,0
2006,4,129783,84,92021,1,5,0,1,2,0
2007,7,5000,84,95382,0,1,0,1,2,0
2007,11,8500,84,92557,0,4,0,1,2,0
2007,9,50000,84,94560,0,2,0,1,2,0
2007,6,5000,84,95650,0,3,0,1,2,0
2007,5,15382,84,93458,0,1,0,1,2,0
2007,7,50000,84,92116,0,4,0,0,2,0
2007,8,15000,40,90057,0,0,0,0,2,0
2007,2,20100,84,92592,0,1,0,1,2,0
2007,11,300000,120,90660,0,8,0,0,2,0
2007,1,146000,240,92562,4,18,1,0,2,0
2007,9,93800,84,94104,1,3,0,1,2,0
1999,6,76000,108,90005,0,3,0,0,0,0
2007,11,58372,84,95023,0,1,0,1,2,0
2007,1,804000,240,92123,4,36,1,0,2,0
1999,7,326000,84,94114,0,5,0,0,0,0
2007,4,534200,288,93410,2,3,1,0,2,0
2007,2,350000,120,90015,11,0,0,0,2,0
2007,6,80000,60,91722,0,5,0,0,2,0
2007,12,43550,12,93401,2,2,0,1,1,0
2007,8,234000,240,90807,7,10,1,0,2,0
2007,11,49190,72,91355,0,9,0,1,2,0
2007,10,385024,84,90065,0,24,0,1,2,0
2007,3,1620000,240,95377,35,65,1,0,2,0
2007,5,883000,240,94118,2,2,1,0,2,0
2007,1,848000,240,95125,20,7,1,0,2,0
2007,11,35000,84,90242,0,8,0,1,2,0
2007,10,7500,120,92647,0,2,0,0,2,0
1999,1,124000,300,90044,0,7,1,0,0,0
2007,12,15000,84,94511,0,1,0,0,2,0
2007,9,544000,240,92701,11,1,1,0,2,0
2007,7,248000,240,92618,7,10,1,0,2,0
2007,9,322000,240,92618,7,10,1,0,2,0
2007,11,64900,84,95966,0,1,0,1,2,0
2007,7,44700,84,94533,0,10,0,0,2,0
1999,6,21200,84,94526,2,1,0,0,0,0
2007,10,85128,84,91423,0,2,0,1,2,0
2007,10,25500,84,93923,1,2,0,1,2,0
2007,4,15000,84,95828,1,1,0,0,2,0
2007,6,157000,240,95307,4,2,1,0,2,0
2007,1,51918,84,90405,0,1,0,1,2,0
2007,8,1124000,240,92121,8,15,1,0,2,0
2007,8,100000,84,93455,1,5,0,0,2,0
2007,11,1029000,240,94110,8,40,1,0,2,0
2007,4,798000,240,95678,19,4,1,0,2,0
2007,11,37500,84,93536,0,7,0,0,2,0
2007,5,409000,240,92117,3,5,1,0,2,0
2007,12,1491000,240,90505,3,20,1,0,2,0
1999,10,250000,120,90048,0,10,0,0,0,0
1999,4,150800,300,95961,0,4,1,0,0,0
2007,12,100000,24,90248,2,6,0,1,2,0
2007,12,597000,240,90807,60,40,1,0,2,0
2007,7,45000,84,91302,0,2,0,1,2,0
2007,5,161873,84,96161,0,1,0,1,1,0
2007,6,648000,240,94806,3,1,1,0,2,0
2007,5,35000,84,94539,0,1,0,0,2,0
2007,6,1400000,300,91205,0,2,1,0,2,0
2007,4,29672,84,95051,0,6,0,1,2,0
2007,3,20000,36,95490,0,2,0,0,1,0
2007,11,86967,84,94526,2,2,0,1,2,0
2007,3,310000,240,92618,2,3,1,0,2,0
2007,8,49320,84,94550,0,1,0,1,2,0
2007,11,641000,240,92056,10,70,1,0,2,0
2007,12,200000,12,90274,1,1,0,1,2,0
2007,12,55077,84,90241,2,4,0,1,1,0
2007,3,43753,84,90046,2,2,0,1,1,0
2007,8,17487,84,92805,0,1,0,1,2,0
2007,4,25000,84,92056,0,2,0,1,2,0
2007,2,10000,24,92801,0,2,0,0,2,0
2007,12,761000,240,92562,4,9,1,0,2,0
2007,2,231000,240,91914,3,1,1,0,2,0
2007,8,320500,168,95020,2,2,0,0,2,0
2007,9,50000,84,90066,2,2,0,1,2,0
2007,7,36317,84,91746,0,1,0,1,1,0
2007,2,529000,240,91910,8,25,1,0,2,0
2007,11,67011,84,94538,0,1,0,1,2,0
2007,8,110010,84,92129,0,2,0,1,2,0
2007,9,41471,84,95370,0,3,0,0,2,0
2007,11,61401,84,95926,0,1,0,1,2,0
2007,5,720000,240,92868,5,17,1,0,2,0
2007,5,200000,80,94925,0,2,0,0,2,0
2007,9,18238,84,92130,2,2,0,1,2,0
2007,12,115000,84,91748,1,2,0,1,2,0
2007,8,100000,85,94080,2,11,0,0,2,0
2007,10,48350,84,94544,0,1,0,1,2,0
2007,4,450000,120,91784,0,3,0,0,2,0
1999,11,216000,120,95010,0,7,0,0,0,0
2007,8,148000,120,92101,0,2,0,0,2,0
2008,3,70000,84,91364,0,2,0,1,2,0
1999,1,108000,300,92069,0,2,1,0,0,0
2007,12,1093000,240,94087,2,3,1,0,2,0
2007,7,125155,84,94602,4,6,0,1,1,0
1999,4,414000,240,93706,5,15,1,0,0,0
2007,8,277000,85,95340,1,1,0,0,2,0
2007,8,25000,84,91344,0,3,0,1,2,0
2008,10,12350,84,91789,0,6,0,1,2,0
2007,11,50000,36,91730,0,17,0,0,2,0
2007,7,585000,240,92065,18,42,1,0,1,0
2008,12,20000,84,91101,1,1,0,0,2,0
2007,9,1025000,240,93534,8,113,1,0,2,0
2007,11,89026,84,94610,0,32,0,1,2,0
2007,3,46543,84,90048,0,3,0,1,2,0
2007,4,27000,84,90004,0,1,0,1,2,0
1999,7,10000,84,90045,2,3,0,0,0,0
2007,12,45061,84,94541,0,5,0,1,2,0
2008,9,12500,109,95112,4,3,0,0,2,0
2008,11,15000,84,95123,0,1,0,1,2,0
1999,11,50000,108,90201,1,1,0,0,0,0
2007,4,425000,240,91768,2,4,1,0,2,0
2008,11,150000,84,91504,0,5,0,1,2,0
1999,5,394000,240,94618,10,6,1,0,0,0
2008,5,10121,84,92683,0,8,0,1,2,0
1999,7,300000,120,91605,0,12,0,0,0,0
1999,8,245000,240,94550,8,3,1,0,0,0
2007,3,20000,60,92115,0,3,0,0,2,0
2007,11,866900,120,92324,0,24,0,0,2,0
2008,2,10000,84,92103,1,1,0,1,2,0
2008,6,50000,84,95112,0,2,0,1,2,0
1999,2,315000,300,91744,0,10,1,0,0,0
2007,8,291000,240,94502,4,1,1,0,2,0
2007,1,25000,36,92705,0,1,0,0,2,0
2007,7,25000,36,92804,0,3,0,0,2,0
2007,8,29509,68,95337,0,3,0,1,1,0
2008,11,30665,84,95688,1,3,0,1,2,0
1999,5,158500,300,92069,0,8,1,0,0,0
2007,1,24939,84,92626,0,35,0,1,2,0
2007,5,22500,84,90069,0,3,0,1,2,0
2008,5,20100,84,92078,0,3,0,1,2,0
2007,2,281000,240,92801,1,3,1,0,2,0
2008,5,28163,28,95820,2,6,0,1,2,0
2007,1,268000,240,94531,4,2,1,0,2,0
2007,8,25000,60,92624,0,2,0,0,2,0
1999,1,252200,300,93065,4,74,1,0,0,0
1999,8,100000,120,93065,4,74,0,0,0,0
1999,10,510800,300,92653,0,67,1,0,0,0
2007,10,1799000,240,91364,5,10,1,0,2,0
2008,12,46000,84,95608,2,7,0,1,2,0
2007,12,30000,48,91978,0,1,0,0,2,0
2007,1,1048000,300,90680,12,12,1,0,2,0
2008,1,5600,84,91011,1,2,0,1,2,0
2008,11,30000,84,90024,0,4,0,1,2,0
2008,6,36034,60,94124,0,2,0,1,2,0
1999,8,307000,120,95405,0,16,0,0,0,0
2007,12,158144,84,90254,1,4,0,1,2,0
1999,10,452000,240,92084,4,16,1,0,0,0
2007,3,30000,84,91040,4,1,0,1,2,0
1999,6,501000,240,94545,0,15,1,0,0,0
2007,12,1596200,264,90255,5,25,1,0,2,0
1999,11,75000,120,90048,0,12,0,0,0,0
2007,9,40000,84,92868,5,3,0,1,2,0
2008,7,20000,84,90041,0,8,0,0,2,0
2007,1,268000,240,92656,5,4,1,0,2,0
2007,10,50000,84,92009,0,1,0,1,2,0
2008,8,80606,84,94010,0,2,0,1,2,0
2007,1,318000,240,95127,1,3,1,0,2,0
2007,6,1655000,240,94558,15,12,1,0,2,0
1999,7,180000,300,93001,0,10,1,0,2,0
2007,4,50000,60,94536,4,4,0,0,2,0
2007,9,1583000,240,95828,50,50,1,0,2,0
2008,6,34520,84,94514,0,4,0,1,2,0
2008,2,34433,84,91321,0,2,0,1,2,0
2008,3,47499,12,93401,0,4,0,1,1,0
1999,2,523000,240,92103,10,34,1,0,2,0
2008,5,148180,84,93004,0,1,0,1,2,0
1999,6,1000000,240,95132,0,10,1,0,2,0
2008,10,98653,84,92844,0,20,0,1,2,0
2008,12,675000,240,90254,4,3,1,0,2,0
2008,6,129972,84,91436,2,3,0,1,2,0
2008,2,201000,240,91723,10,20,1,0,2,0
1999,6,36000,120,94086,1,3,0,0,2,0
2008,12,33739,84,92037,0,3,0,1,2,0
1999,11,78800,60,95620,0,1,0,0,2,0
1999,7,212400,300,92345,3,11,1,0,2,0
2008,6,12500,120,95123,7,2,0,0,2,0
1999,12,405000,300,90045,4,12,1,0,2,0
1999,10,297000,300,90006,5,30,1,0,2,0
1999,11,180000,120,94609,0,3,0,0,2,0
2008,6,37725,84,92109,1,6,0,1,2,0
2008,6,364000,240,91361,2,3,1,0,2,0
2008,12,83943,84,90210,0,14,0,1,2,0
2008,11,365000,240,91710,1,18,1,0,2,0
2008,9,7500,84,91206,2,15,0,1,2,0
2008,8,910000,120,91206,2,15,0,0,2,0
2008,3,123799,84,95926,3,3,0,1,2,0
1999,3,526500,300,92707,0,10,1,0,2,0
1999,10,708000,301,92037,6,6,1,0,2,0
2008,8,165000,240,91355,1,5,1,0,2,0
2008,9,10000,114,90211,1,2,0,0,2,0
2008,8,575000,120,85008,0,5,0,0,2,0
2008,9,151463,84,92683,0,5,0,1,2,0
2008,8,296000,240,92056,1,3,1,0,2,0
2008,1,308500,84,92003,0,2,0,0,2,0
1999,5,450000,300,94115,4,4,1,0,2,0
2008,4,820000,240,91761,8,4,1,0,2,0
1999,4,320000,120,91423,0,16,0,0,2,0
1999,5,38000,300,93706,0,3,1,0,2,0
2008,12,639400,143,94080,10,20,0,0,2,0
2008,8,1682000,240,92154,10,20,1,0,2,0
2000,1,180000,300,96022,4,4,1,0,2,0
2008,7,658000,240,93063,1,5,1,0,2,0
2000,6,771000,240,92504,23,102,1,0,2,0
2008,8,750000,120,90028,0,12,0,0,2,0
2008,11,50000,36,93433,0,15,0,0,1,0
2009,8,50000,84,90066,0,1,0,1,2,0
2009,5,10000,120,95136,4,2,0,0,2,0
2009,5,2000000,108,92109,0,20,0,0,2,0
2008,7,130000,60,91321,3,1,0,0,2,0
2008,12,460000,84,90755,2,9,0,0,2,0
2009,8,5000,120,90272,0,3,0,0,2,0
2000,3,266400,300,91941,0,2,1,0,2,0
2009,3,25000,84,94044,1,2,0,0,2,0
2000,2,52200,60,95620,0,1,0,0,2,0
2008,8,712700,300,94401,9,9,1,0,2,0
2000,1,427500,300,94587,6,10,1,0,2,0
2000,6,200000,120,90026,2,1,0,0,2,0
2008,8,215000,240,91352,1,1,1,0,2,0
1989,9,93000,300,90222,0,1,1,0,0,0
2009,6,1665000,300,92024,1,1,1,0,2,0
2000,7,48270,60,92780,0,1,0,1,2,0
2009,5,285000,300,92562,0,4,1,0,2,0
2009,4,243000,90,91201,0,2,0,0,2,0
2008,3,250000,84,91362,3,15,0,0,2,0
2009,4,50000,84,92082,0,5,0,0,1,0
1989,7,252000,120,92691,0,10,0,0,0,0
2000,6,255000,300,90026,0,18,1,0,2,0
1989,12,85000,120,93003,0,4,0,0,0,0
2009,3,936000,120,92590,24,24,0,0,2,0
1989,7,50000,84,90650,0,3,0,0,0,0
1989,7,115000,216,93701,0,4,0,0,0,0
2000,5,125000,120,91932,0,5,0,0,2,0
2008,1,803000,240,91355,6,4,1,0,2,0
1989,12,49500,24,95525,0,3,0,0,0,0
2009,10,50570,84,95382,0,7,0,1,1,0
1989,5,50000,96,95066,0,10,0,0,0,0
1989,12,250000,120,92064,0,1,0,0,0,0
1989,7,212000,300,90745,0,12,1,0,0,0
2009,4,122049,84,92101,2,1,0,1,2,0
1989,7,200000,84,95825,0,10,0,0,0,0
1989,2,171000,240,92227,0,16,1,0,0,0
2009,5,10000,120,92114,5,2,0,0,2,0
1989,10,125000,84,95404,0,27,0,0,0,0
2000,12,180000,240,91901,6,2,1,0,2,0
1990,10,550000,120,90211,0,7,0,0,0,0
1990,3,230000,155,92675,0,12,0,0,0,0
1990,1,270000,240,90301,0,1,1,0,0,0
2000,1,138000,120,96093,2,2,0,0,1,0
2009,5,1500000,120,91502,0,23,0,0,2,0
1990,4,120000,300,95120,0,1,1,0,0,0
1990,10,115000,84,95129,0,3,0,0,0,0
2000,7,348000,300,93003,6,6,1,0,2,0
