Year,Month,Amount,Term,Zip,CreateJob,NoEmp,RealEstate,RevLineCr,UrbanRural,Default
2000,12,723000,240,92865,3,3,1,0,2,0
1990,8,80000,84,92707,0,4,0,0,0,0
2000,9,480000,300,94925,0,3,1,0,2,0
2000,1,75000,60,95661,2,8,0,1,2,0
2009,6,25000,84,94501,0,3,0,0,2,0
2009,10,200000,84,90744,1,4,0,0,2,0
1990,12,90000,120,92408,0,6,0,0,0,0
2000,11,200000,120,91605,0,10,0,0,2,0
1990,10,100000,300,92020,0,5,1,0,0,0
2009,2,1556000,300,92037,2,8,1,0,2,0
2010,5,504000,120,91352,4,36,0,0,2,0
2010,6,872400,300,90266,0,4,1,0,2,0
2010,4,580000,300,90007,2,5,1,0,2,0
2000,8,225000,288,95076,0,1,1,0,2,0
2000,11,40000,84,93638,3,5,0,0,1,0
2000,8,1000000,306,92008,12,13,1,0,2,0
2000,2,250000,84,90302,10,55,0,0,2,0
2000,7,574000,240,91203,0,13,1,0,2,0
2010,11,446800,300,95131,2,2,1,0,2,0
2000,10,250000,120,90292,0,5,0,0,2,0
1990,7,150000,96,92675,0,4,0,0,0,0
2010,2,632100,300,92562,9,1,1,0,2,0
2010,10,1177500,300,92571,0,12,1,0,2,0
2000,9,129000,240,92102,4,6,1,0,2,0
2000,8,675000,300,90031,0,9,1,0,2,0
2000,10,183619,240,92802,5,5,1,0,2,0
2010,4,2000000,300,92121,0,32,1,0,2,0
2000,7,25200,60,95682,0,1,0,0,2,0
2000,3,500000,300,90005,0,10,1,0,2,0
2010,8,1150000,300,94901,0,3,1,0,2,0
2010,4,300000,300,93263,0,2,1,0,1,0
2000,5,222000,303,91723,0,2,1,0,2,0
2010,7,71015,84,92663,0,5,0,1,2,0
2010,3,450000,84,92844,2,20,0,0,2,0
2010,6,327000,240,90640,0,15,1,0,2,0
1990,4,161000,300,92082,0,2,1,0,0,0
2010,7,618000,300,91709,0,3,1,0,2,0
2000,4,500000,180,95069,2,3,0,0,2,0
2000,11,135000,300,93550,5,2,1,0,2,0
2010,10,100000,60,92673,8,13,0,0,2,0
2000,6,1344400,300,92111,0,26,1,0,2,0
2000,1,136500,300,92111,0,26,1,0,2,0
2010,3,225000,300,90301,0,10,1,0,2,0
2010,10,1665000,120,92806,0,150,0,0,2,0
2000,3,193000,300,95816,0,57,1,0,2,0
2000,7,126000,300,92651,0,4,1,0,2,0
2000,11,619000,240,94588,14,18,1,0,2,0
2000,6,64270,60,95765,0,5,0,1,2,0
2000,4,594000,300,91304,2,5,1,0,2,0
2010,9,250000,300,91709,0,3,1,0,2,0
2000,1,1149000,300,92805,4,130,1,0,2,0
2000,5,577000,240,92688,17,16,1,0,2,0
2000,9,292500,84,91761,20,2,0,0,2,0
2001,4,115400,120,95949,0,3,0,0,2,0
2001,12,333000,300,95115,0,1,1,0,2,0
2001,4,25000,114,93117,2,2,0,0,2,0
2001,1,517500,300,91786,0,10,1,0,2,0
2001,10,607000,306,92618,0,6,1,0,2,0
2010,9,35000,84,95628,2,4,0,1,2,0
2001,9,92370,83,92118,1,2,0,1,2,0
2001,6,414000,240,94545,4,47,1,0,2,0
2010,12,50300,84,91406,0,2,0,0,2,0
2010,6,215000,240,95678,8,14,1,0,2,0
2001,6,163000,240,92865,5,5,1,0,2,0
2001,3,100000,87,91203,2,10,0,0,2,0
2010,2,135000,84,94533,0,1,0,0,2,0
2010,1,5000,85,95380,2,2,0,0,2,0
2010,11,50000,84,91607,20,14,0,1,2,0
1990,11,35000,84,92028,0,2,0,0,0,0
2001,8,536000,240,92101,5,15,1,0,2,0
2001,4,162000,240,92590,5,3,1,0,2,0
2001,7,150000,240,92116,3,7,1,0,2,0
2001,5,314000,240,93307,5,5,1,0,2,0
2001,12,55000,36,90404,0,4,0,1,2,0
2001,12,75000,36,92887,3,3,0,1,2,0
2001,9,440000,240,92708,10,18,1,0,2,0
2001,2,229200,109,90670,0,2,0,0,2,0
2010,9,158772,84,91302,0,1,0,1,2,0
2001,6,125100,300,93635,0,2,1,0,2,0
1990,2,200000,108,91748,0,3,0,0,0,0
1990,5,90000,120,91311,0,4,0,0,0,0
2001,5,1000000,120,91408,2,68,0,0,2,0
2001,3,100000,84,93240,4,1,0,0,2,0
2001,10,100000,120,91352,1,3,0,0,2,0
2001,5,635000,240,91763,20,40,1,0,2,0
2010,10,29700,84,92625,1,1,0,1,2,0
2001,4,1000000,303,90066,0,1,1,0,2,0
2010,5,15003,84,90403,1,2,0,1,2,0
2010,12,205000,84,91352,1,3,0,0,2,0
2001,12,30000,60,95376,0,1,0,0,2,0
2010,4,250000,84,92618,0,10,0,1,2,0
2010,4,452000,240,95051,7,1,1,0,2,0
2010,2,55000,120,93309,1,1,0,0,1,0
2001,3,638000,300,91320,0,6,1,0,2,0
2001,10,80000,84,92243,8,1,0,0,1,0
2001,8,220000,120,94507,1,2,0,0,2,0
2001,2,306000,300,92315,7,3,1,0,2,0
2001,7,322400,240,93308,0,2,1,0,2,0
1990,6,150000,120,92360,0,2,0,0,0,0
2001,4,750000,300,95472,10,20,1,0,2,0
2001,1,249000,240,92104,4,12,1,0,2,0
2001,6,250000,84,92807,3,2,0,0,2,0
1991,9,25000,96,95066,0,10,0,0,0,0
2011,7,495000,84,93063,0,24,0,0,2,0
2011,11,538000,300,94014,0,6,1,0,2,0
2001,4,409500,300,93401,0,10,1,0,1,0
2011,12,510000,300,90034,0,14,1,0,2,0
1991,9,200000,120,91301,0,6,0,0,0,0
1991,10,60000,76,91011,0,2,0,0,0,0
2001,2,222700,300,91506,2,4,1,0,2,0
2001,9,158000,240,95376,2,6,1,0,2,0
1991,7,80000,84,92804,0,1,0,0,0,0
1991,4,210000,120,91301,0,2,0,0,0,0
2011,4,500000,120,95076,0,1,0,0,1,0
2001,6,254500,120,91405,1,1,0,0,2,0
1991,7,619000,240,92807,18,60,1,0,0,0
1991,6,50000,120,91326,0,5,0,0,0,0
2011,12,150000,84,95060,0,1,0,0,2,0
2001,3,99000,84,90201,0,2,0,0,2,0
2001,2,330000,300,90302,0,3,1,0,2,0
2011,8,512000,300,95971,0,1,1,0,2,0
2001,3,157000,300,91722,0,13,1,0,2,0
1991,1,75000,84,90278,0,3,0,0,0,0
2001,11,455000,120,94710,0,4,0,0,2,0
2011,1,12781,84,95501,0,2,0,1,1,0
2001,6,35000,60,94710,0,4,0,1,2,0
2011,7,90000,120,93726,0,3,0,0,2,0
2011,12,271800,300,92503,0,40,1,0,2,0
2001,9,181000,240,91006,3,2,1,0,2,0
1991,4,140000,84,93108,0,5,0,0,0,0
2001,12,333000,300,90006,0,35,1,0,2,0
2001,3,311600,300,94538,1,5,1,0,2,0
2001,12,254500,300,90803,0,20,1,0,2,0
2011,6,285000,14,92243,0,7,0,1,1,0
2001,8,545000,300,94103,4,6,1,0,2,0
2011,2,2315000,300,91502,6,6,1,0,2,0
1991,7,240000,300,95370,0,2,1,0,0,0
2001,9,143000,300,95205,0,50,1,0,2,0
2001,8,434000,240,94109,0,2,1,0,2,0
1991,3,369000,84,94577,0,9,0,0,0,0
2001,11,30619,84,95987,1,3,0,1,2,0
2001,10,1000000,240,92656,40,600,1,0,2,0
2001,8,270000,120,92109,0,12,0,0,2,0
1991,12,58000,120,94550,0,2,0,0,0,0
2001,7,135000,108,95540,0,2,0,0,1,0
1991,3,150000,180,92126,0,13,0,0,0,0
1991,8,183000,87,91604,0,4,0,0,0,0
1991,4,60000,84,94002,0,3,0,0,0,0
2001,5,220000,300,90640,0,1,1,0,2,0
1991,1,94000,120,95662,0,2,0,0,0,0
2001,7,435000,120,92324,1,3,0,0,2,0
1991,4,222280,240,95901,0,8,1,0,0,0
1991,10,110000,240,92373,0,7,1,0,0,0
1991,2,700000,272,95677,0,10,1,0,0,0
2001,12,400000,120,93308,15,9,0,0,2,0
2001,3,899000,304,95050,0,5,1,0,2,0
1991,6,135000,84,95827,0,25,0,0,0,0
2001,3,866800,300,95401,0,7,1,0,2,0
2001,7,435000,300,95404,0,5,1,0,2,0
2001,6,864000,300,91364,4,13,1,0,2,0
1991,12,60000,96,95076,0,2,0,0,0,0
1991,12,64700,72,95324,0,2,0,0,0,0
1991,9,100000,120,95005,0,5,0,0,0,0
2001,8,800100,300,94070,0,10,1,0,2,0
2001,10,168000,240,93060,5,15,1,0,2,0
2001,10,280000,300,95066,0,6,1,0,2,0
1991,3,85000,120,91020,0,3,0,0,0,0
2001,6,74300,300,91773,6,10,1,0,2,0
2001,7,848000,240,91331,6,24,1,0,2,0
2001,4,1000000,240,91201,40,55,1,0,2,0
2001,12,862500,123,91350,4,12,0,0,2,0
2001,12,120000,120,90241,0,5,0,0,2,0
1992,10,97500,276,92115,0,25,1,0,0,0
1992,10,626000,300,92115,0,25,1,0,0,0
2001,3,360000,300,90046,4,2,1,0,2,0
1992,8,320000,273,90024,0,4,1,0,0,0
2001,2,726000,240,90045,2,3,1,0,2,0
2001,12,235000,240,93711,5,5,1,0,2,0
1992,8,75000,84,93725,0,3,0,0,0,0
2001,12,428000,300,91205,0,6,1,0,2,0
2001,11,125000,66,92270,0,6,0,0,2,0
2001,4,150000,123,91606,1,4,0,0,2,0
2001,4,225000,180,90019,2,5,0,0,2,0
2001,12,300000,180,92064,4,8,0,0,2,0
2001,6,330000,84,93561,0,11,0,0,2,0
2001,10,96800,300,92105,0,12,1,0,2,0
2001,2,201000,84,91324,0,2,0,0,2,0
1992,5,170000,228,95006,0,10,0,0,0,0
2001,1,250000,120,91763,0,23,0,0,2,0
2001,2,375000,120,93455,0,15,0,0,2,0
2012,8,14915,84,92647,0,1,0,1,2,0
2001,11,614700,300,91355,0,9,1,0,2,0
2001,11,134000,300,91352,0,4,1,0,2,0
2001,6,280000,84,95833,5,1,0,0,2,0
2001,3,50000,12,93304,1,15,0,0,0,0
1992,1,65000,60,95361,0,2,0,0,0,0
2001,12,68000,240,91761,6,6,1,0,2,0
2001,4,296011,60,90036,0,20,0,1,2,0
1992,7,670000,240,93433,0,14,1,0,0,0
2001,1,1000000,240,92008,5,30,1,0,2,0
2001,1,115000,122,92108,0,8,0,0,1,0
2001,8,25000,84,95641,1,1,0,0,1,0
2001,8,152500,116,93063,1,2,0,0,2,0
2001,12,954000,240,90221,130,60,1,0,2,0
2002,10,396000,300,90042,0,8,1,0,2,0
2002,9,250000,180,92078,3,13,0,0,2,0
1992,3,80000,120,90232,0,5,0,0,0,0
2002,4,1000000,240,91436,16,129,1,0,2,0
2002,12,330000,120,91406,0,35,0,0,2,0
2002,5,145900,120,92121,0,1,0,0,2,0
2002,3,497000,300,91732,0,6,1,0,2,0
1992,3,130000,300,92391,0,13,1,0,0,0
2002,3,373000,240,92069,4,32,1,0,2,0
2002,1,175000,120,93004,0,3,0,0,2,0
1992,11,199598,300,91502,0,13,1,0,0,0
2002,9,857000,240,92833,15,57,1,0,2,0
2002,8,315000,300,94544,5,2,1,0,2,0
2002,2,377500,300,93940,0,2,1,0,2,0
2002,10,323000,300,92701,0,34,1,0,2,0
2002,11,732000,240,95113,2,9,1,0,2,0
2002,2,52983,84,95713,0,1,0,1,2,0
2002,5,50000,84,92802,0,1,0,0,2,0
1992,2,167300,120,94509,0,9,0,0,0,0
2002,4,283000,120,90241,0,4,0,0,2,0
2002,7,55000,84,92078,0,6,0,0,2,0
2002,11,125000,120,90404,0,2,0,0,2,0
2002,8,148500,300,92780,0,5,1,0,2,0
2002,5,712300,305,92835,0,10,1,0,2,0
2002,6,637000,300,96161,0,2,1,0,2,0
2002,5,1278000,240,90221,20,40,1,0,2,0
2002,11,346000,300,91761,2,5,1,0,2,0
2002,4,138000,240,95624,21,4,1,0,2,0
2002,4,760500,300,90670,0,10,1,0,2,0
2002,2,240500,108,92104,0,2,0,0,2,0
2002,12,150000,300,91910,0,3,1,0,2,0
2002,4,803000,240,92660,10,10,1,0,2,0
2002,2,186800,120,91362,0,1,0,0,2,0
2002,6,45000,36,92109,5,1,0,1,2,0
2002,2,218900,204,92886,0,2,0,0,2,0
2002,10,10000,36,92084,0,3,0,1,2,0
2002,6,331000,240,94103,0,6,1,0,2,0
2002,4,50000,84,95832,1,1,0,0,2,0
2002,5,496000,300,90277,0,2,1,0,2,0
2002,7,175000,300,91104,0,7,1,0,2,0
2002,7,150000,60,91016,5,8,0,0,2,0
2002,5,400000,300,93449,0,1,1,0,1,0
2002,11,738700,300,90019,5,2,1,0,2,0
2002,9,399000,240,90058,5,16,1,0,2,0
2002,3,30000,84,92604,1,4,0,1,2,0
2002,10,574000,300,91042,0,6,1,0,2,0
2002,3,1333000,120,94583,0,6,0,0,2,0
2002,1,201000,300,92590,2,1,1,0,2,0
2002,3,711000,240,91910,75,225,1,0,2,0
2002,3,30000,36,95966,0,1,0,0,2,0
2002,9,150000,96,93551,1,7,0,0,2,0
2002,7,50133,70,90019,1,1,0,1,2,0
2002,6,25000,36,92108,2,7,0,1,2,0
1993,2,100000,120,91324,0,8,0,0,0,0
2002,6,25000,60,92108,2,7,0,0,2,0
2002,2,191000,120,92057,0,2,0,0,2,0
2002,5,550000,300,95008,0,3,1,0,2,0
2002,10,10000,84,95482,0,1,0,1,2,0
2002,7,343400,300,92703,0,11,1,0,2,0
2002,2,925000,120,95661,0,6,0,0,2,0
2002,12,1000000,240,92881,32,65,1,0,2,0
2002,3,300000,252,95403,2,14,1,0,2,0
2002,9,223000,96,93101,2,10,0,0,2,0
2002,5,169300,288,93702,0,16,1,0,2,0
1993,4,60000,84,95401,0,15,0,0,0,0
2002,8,359000,228,92503,0,2,0,0,2,0
2002,4,416250,300,93101,2,10,1,0,2,0
2002,4,14300,84,92805,1,1,0,0,2,0
2002,1,370000,276,95822,0,5,1,0,2,0
2002,9,925000,300,90212,0,13,1,0,2,0
2002,3,135000,120,92844,0,3,0,0,2,0
2002,1,28300,84,94122,0,1,0,0,2,0
2002,5,666000,300,91207,0,2,1,0,2,0
2002,4,735000,300,92590,1,10,1,0,2,0
2002,11,84000,120,93101,2,5,0,0,2,0
2002,10,105000,84,92008,15,2,0,0,2,0
1993,7,317000,84,95405,0,30,0,0,0,0
2002,11,493400,300,91367,2,5,1,0,2,0
2002,5,595000,120,92110,0,9,0,0,2,0
1993,5,155000,120,92708,0,16,0,0,0,0
2002,3,12000,8,96161,1,7,0,0,2,0
2002,10,550000,300,94566,0,5,1,0,2,0
2002,1,1170000,300,90266,2,10,1,0,2,0
2002,9,150000,96,92806,0,9,0,0,2,0
2002,3,250000,74,93309,0,16,0,0,2,0
2002,3,1071000,240,94114,0,8,1,0,2,0
2002,5,1285000,120,91403,5,5,0,0,2,0
2002,4,243000,300,90015,0,2,1,0,2,0
2002,7,289000,300,90061,0,2,1,0,2,0
2002,5,1000000,300,91367,0,6,1,0,2,0
2002,9,50000,39,90046,4,1,0,1,2,1
2002,10,410500,300,95111,0,2,1,0,2,0
1993,11,412000,254,92672,0,4,1,0,0,0
2002,9,150000,84,92562,0,11,0,0,2,0
2002,5,1352100,276,91914,4,4,1,0,2,0
2002,3,576000,300,95125,0,8,1,0,2,0
2002,8,321300,300,93449,3,2,1,0,2,0
2002,3,20000,84,94607,2,4,0,0,0,0
2002,7,5000,1,90265,0,1,0,0,0,1
2002,3,1298000,240,91352,3,3,1,0,2,0
2002,1,600000,240,94591,3,3,1,0,2,0
2002,5,75000,60,93634,0,5,0,0,2,0
2002,12,1300000,240,92618,5,85,1,0,2,0
2002,8,21145,83,92111,0,1,0,1,2,0
2002,12,150000,36,91506,1,2,0,0,2,0
2002,6,1084000,300,91364,0,80,1,0,2,0
2002,6,150000,13,92677,3,2,0,0,2,1
2002,7,135000,91,93401,3,5,0,0,2,1
2002,9,904000,240,91364,75,237,1,0,2,0
2002,6,1250000,96,96001,6,13,0,0,2,0
2002,2,2000000,120,90505,5,48,0,0,2,0
1993,2,145590,60,91719,0,5,0,0,0,0
2002,8,153000,240,95901,1,2,1,0,2,0
2002,11,600000,300,91340,0,12,1,0,2,0
2002,1,183300,120,94063,1,4,0,0,2,0
2002,8,31458,60,92584,1,1,0,1,2,0
2002,10,138000,240,95358,3,3,1,0,2,0
2002,2,150000,78,92128,0,2,0,0,2,0
2002,4,12000,84,90620,0,1,0,1,2,0
2002,1,625500,300,91745,0,15,1,0,2,0
2002,6,25000,84,95667,1,1,0,0,2,0
2002,9,50000,84,91711,0,8,0,1,2,0
2002,9,1330000,300,90015,0,6,1,0,2,0
2002,8,292900,276,92505,0,14,1,0,2,0
2002,3,700000,84,92614,0,75,0,0,2,0
2002,8,42402,40,90210,2,4,0,1,2,1
2002,5,532000,240,92618,3,3,1,0,2,0
2002,5,739500,300,90706,0,8,1,0,2,0
2002,10,725000,300,95112,0,3,1,0,2,0
2002,5,43978,60,92037,0,2,0,1,2,0
1993,1,75000,120,92101,0,16,0,0,0,0
2002,2,23918,60,95100,0,2,0,1,2,0
2002,6,10000,84,90045,0,3,0,1,2,0
2002,7,240000,120,95002,15,2,0,0,2,0
2002,2,706100,300,92806,3,10,1,0,2,0
2002,3,541000,240,91405,25,57,1,0,2,0
2002,2,128000,240,93247,4,4,1,0,1,0
1993,10,286800,300,95366,0,6,1,0,0,0
2002,5,1282962,84,91406,1,10,0,0,2,0
2002,2,1232500,300,94544,0,20,1,0,2,0
2003,4,50000,84,90007,2,3,0,1,2,0
2003,1,107000,120,92120,2,1,0,0,2,0
1993,10,300000,120,94022,0,14,0,0,0,0
2003,5,1200000,300,90045,0,5,1,0,2,0
2003,1,562500,300,90260,0,12,1,0,2,0
2003,6,30000,84,90020,1,2,0,1,2,0
1993,2,50000,120,95684,0,1,0,0,0,0
2003,4,16200,36,92014,0,2,0,0,1,0
2003,6,10000,42,92056,5,2,0,1,2,1
1993,3,125000,132,92404,0,2,0,0,0,0
2003,7,15000,29,91606,0,2,0,0,2,1
2003,10,10000,84,90745,6,1,0,1,2,0
2003,5,40000,84,90068,0,1,0,1,2,0
1993,8,807500,300,94114,0,5,1,0,0,0
2003,3,50000,84,95125,0,2,0,0,2,0
2003,11,15000,30,94806,0,1,0,0,0,1
2003,5,50000,84,91761,0,30,0,1,2,0
2003,2,15092,84,96002,0,3,0,1,2,0
2003,5,118500,120,95993,1,2,0,0,2,0
2003,4,763000,300,90249,0,3,1,0,2,0
2003,11,35000,60,94545,1,2,0,0,2,0
2003,9,35000,13,92105,0,2,0,0,2,1
2003,3,15021,36,92316,0,1,0,1,2,0
2003,5,420000,300,94403,0,2,1,0,2,0
1993,7,200000,300,92507,0,6,1,0,0,0
2003,2,500000,300,90007,15,15,1,0,2,0
1993,4,234000,132,95127,0,1,0,0,0,0
2003,7,1020000,300,94044,0,9,1,0,2,0
2003,8,830000,120,92126,0,15,0,0,2,0
2003,2,10000,8,94568,1,2,0,0,2,1
2003,2,100000,300,90249,0,3,1,0,2,0
2003,6,35000,2,90003,1,4,0,0,2,1
1994,1,337600,300,91321,0,10,1,0,0,0
2003,7,35000,84,95207,0,8,0,0,2,0
2003,10,318700,300,92706,4,8,1,0,2,0
1994,1,397000,120,94070,0,15,0,0,0,0
2003,8,127000,240,95632,22,53,1,0,2,0
2003,1,10000,70,90401,7,2,0,0,0,1
2003,8,419000,120,95758,0,2,0,0,2,0
2003,1,999000,240,92879,10,13,1,0,2,0
2003,2,45000,41,91362,5,3,0,1,2,0
2003,6,500000,300,92590,10,1,1,0,2,0
2003,1,657000,240,92807,10,12,1,0,2,0
2003,6,397000,300,91307,1,1,1,0,2,0
2003,10,269000,240,92101,25,5,1,0,2,0
2003,6,31503,84,94509,1,3,0,1,2,0
2003,5,296200,300,91765,0,17,1,0,2,0
2003,2,50919,29,92704,0,8,0,0,2,1
2003,12,256000,240,92054,2,4,1,0,2,0
2003,5,25000,60,92116,0,1,0,1,2,0
2003,1,191584,120,95660,1,1,0,1,2,0
2003,10,500000,300,92683,0,2,1,0,2,0
2003,4,52656,36,95843,0,1,0,1,2,0
2003,6,78000,87,91362,0,6,0,0,2,0
2003,4,19100,84,92688,0,1,0,1,2,0
2003,9,500000,300,91331,2,6,1,0,2,0
2003,1,366000,240,91016,4,12,1,0,2,0
2003,11,50000,19,91364,2,3,0,1,2,1
2003,1,290000,120,90638,4,4,0,0,2,0
1994,9,180000,84,94521,0,3,0,0,0,0
2003,9,50000,84,91765,0,5,0,1,2,0
2003,6,500000,306,94533,0,2,1,0,2,0
2003,1,5000,57,94603,0,2,0,0,0,1
2003,5,298000,240,91604,6,12,1,0,2,0
2003,11,10000,84,90008,4,2,0,1,2,0
2003,9,40000,23,90004,0,3,0,1,2,1
2003,10,126000,240,90808,2,3,1,0,2,0
2003,8,120000,120,93442,1,1,0,0,1,0
2003,6,1300000,240,92054,5,15,1,0,2,0
2003,4,36000,36,93012,1,1,0,1,2,0
2003,5,10000,84,90266,0,1,0,1,2,0
2003,8,294000,300,90034,3,5,1,0,2,0
2003,7,151000,120,90034,3,5,0,0,2,0
2003,5,422000,240,92083,15,15,1,0,2,0
2003,6,26000,50,91205,1,2,0,0,2,1
2003,7,508500,300,92116,0,1,1,0,2,0
2003,7,77000,84,95008,5,7,0,1,2,0
2003,2,56355,19,92591,1,3,0,1,2,1
2003,11,120000,84,92111,0,6,0,1,2,0
2003,10,300000,120,94538,0,4,0,0,2,0
2003,2,16511,36,92270,0,1,0,1,1,0
2003,1,5000,84,91351,0,1,0,0,2,0
2003,7,123000,51,92307,1,15,0,0,2,1
2003,11,97500,84,91106,0,2,0,1,2,0
2003,2,372000,240,93551,32,65,1,0,2,0
2003,11,50000,60,92116,2,3,0,0,2,0
2003,1,351000,240,92646,10,17,1,0,2,0
2003,1,1054200,300,94010,0,2,1,0,2,0
2003,4,110000,96,94612,0,3,0,0,2,0
2003,7,946850,276,93727,0,2,1,0,2,0
2003,11,10000,84,90027,0,8,0,1,2,0
2003,8,204000,240,93301,4,4,1,0,2,0
2003,8,10000,36,92028,0,1,0,1,2,0
2003,6,50000,84,91744,0,2,0,1,2,0
2003,8,150000,84,92020,1,2,0,0,2,0
2003,8,5000,84,92677,0,2,0,1,2,0
1994,6,300000,84,90744,0,11,0,0,0,0
1994,9,220000,300,90744,0,11,1,0,0,0
2003,6,25000,63,93401,0,8,0,0,2,1
2003,4,150000,120,91040,0,2,0,0,2,0
2003,12,145000,126,92835,0,10,0,0,2,0
2003,6,4835,55,90057,0,1,0,1,2,1
2003,12,49950,58,91602,1,8,0,1,2,1
2003,10,10000,84,94589,0,1,0,0,0,0
2003,8,427100,300,91340,1,1,1,0,2,0
2003,2,25000,84,94559,0,3,0,1,2,0
2003,4,5000,84,90010,2,1,0,0,0,0
2003,11,10000,25,90010,1,4,0,0,0,1
2003,12,484000,72,96161,0,8,0,0,1,1
2003,11,107700,120,93101,0,10,0,0,2,0
2003,6,92800,120,91355,1,3,0,0,2,0
1994,5,345000,300,94065,0,16,1,0,0,0
2003,3,10000,84,92130,2,1,0,1,2,0
2003,7,1310000,120,95403,0,18,0,0,2,0
2003,2,571500,300,91406,2,8,1,0,2,0
2003,4,5000,84,90049,0,5,0,1,2,0
2003,11,765000,300,90010,0,2,1,0,2,0
2003,9,150000,60,92069,8,30,0,0,2,0
2003,7,765000,300,90601,13,70,1,0,2,0
2003,5,5000,74,94611,1,1,0,0,0,1
2003,7,127000,240,95667,0,14,1,0,1,0
2003,6,30000,83,93060,1,1,0,1,2,0
2003,8,25000,36,95747,0,1,0,1,2,0
2003,11,50000,58,94417,0,2,0,0,2,1
2003,5,25000,54,94546,5,1,0,0,2,1
2003,10,465000,300,92870,4,4,1,0,2,0
2003,5,45000,4,92129,2,1,0,1,2,1
2003,4,700000,300,91601,2,12,1,0,2,0
1994,1,58000,60,94577,0,7,0,0,0,0
2003,8,260000,120,93013,2,4,0,0,2,0
2003,12,150000,28,90068,3,4,0,0,2,1
2003,6,155000,6,90068,3,4,0,1,2,1
2003,4,40087,84,92014,1,1,0,1,1,0
2003,10,40111,84,91402,2,4,0,1,2,0
2003,5,150000,72,91604,2,6,0,0,2,0
2003,9,5000,61,90211,2,1,0,0,0,1
2003,6,10000,84,91702,0,1,0,0,2,0
2003,11,20000,84,91342,5,20,0,1,2,0
2003,10,1264600,300,92345,0,2,1,0,2,0
2003,12,10000,84,92392,0,1,0,1,2,0
2003,8,335000,120,90670,0,6,0,0,2,0
2003,8,31412,84,94618,25,2,0,1,2,0
2003,3,200000,120,91360,5,5,0,0,2,0
2003,7,150000,300,95126,0,21,1,0,2,0
1994,7,750000,84,94577,0,11,0,0,0,0
2003,8,45000,60,90631,0,2,0,0,2,0
2003,12,10000,84,92562,0,1,0,1,2,0
2003,10,500000,84,91406,0,71,0,0,2,0
2003,10,50620,23,82037,5,2,0,1,2,1
2003,9,9424,84,92844,0,2,0,1,2,0
2003,12,15000,84,95062,0,1,0,0,0,0
2003,4,340000,120,94107,3,3,0,0,2,0
2003,1,6000,84,90008,0,1,0,0,0,0
2003,11,24000,60,92311,0,1,0,0,2,0
2003,8,10000,84,91602,0,3,0,1,2,0
1994,10,275000,13,92010,0,5,0,0,0,1
2003,10,666000,84,92595,3,3,0,0,2,0
2003,10,221000,60,92841,0,15,0,0,2,0
2003,9,80000,84,94102,5,60,0,1,2,0
2003,3,100000,48,90275,0,8,0,0,2,0
2003,3,167000,120,92054,0,2,0,0,2,0
2003,12,297500,300,91411,2,6,1,0,2,0
2003,9,50030,25,93309,0,1,0,1,2,1
2003,5,603000,300,90004,5,25,1,0,2,0
2003,4,50000,84,95219,0,15,0,0,2,0
2003,2,81000,240,92595,3,3,1,0,2,0
2003,5,8600,84,90804,1,3,0,1,2,0
2003,3,768000,240,95207,15,70,1,0,2,0
2003,3,284000,240,95762,6,3,1,0,2,0
